bound,gain,coherence,n,omit
1.25,0.8,all,40000,0.01067499999999999
1.25,0.8,0.0,3637,0.02832004399230137
1.25,0.8,0.03,7244,0.024019878520154636
1.25,0.8,0.06,7193,0.012512164604476572
1.25,0.8,0.09,7395,0.006085192697768749
1.25,0.8,0.12,7231,0.002074401880790999
1.25,0.8,0.15,7300,0.0
1.25,1.0,all,40000,0.0008249999999999647
1.25,1.0,0.0,3637,0.002199615067363214
1.25,1.0,0.03,7244,0.0017945886250689824
1.25,1.0,0.06,7193,0.0012512164604476794
1.25,1.0,0.09,7395,0.00040567951318459805
1.25,1.0,0.12,7231,0.0
1.25,1.0,0.15,7300,0.0
1.25,1.2,all,40000,4.999999999999449e-05
1.25,1.2,0.0,3637,0.0
1.25,1.2,0.03,7244,0.0
1.25,1.2,0.06,7193,0.00027804810232168187
1.25,1.2,0.09,7395,0.0
1.25,1.2,0.12,7231,0.0
1.25,1.2,0.15,7300,0.0
1.5,0.8,all,40000,0.03400000000000003
1.5,0.8,0.0,3637,0.08633489139400607
1.5,0.8,0.03,7244,0.07482054113749315
1.5,0.8,0.06,7193,0.04490476852495484
1.5,0.8,0.09,7395,0.016497633536173062
1.5,0.8,0.12,7231,0.007467846770847775
1.5,0.8,0.15,7300,0.00068493150684934
1.5,1.0,all,40000,0.00297499999999995
1.5,1.0,0.0,3637,0.007148748968930474
1.5,1.0,0.03,7244,0.007868580894533461
1.5,1.0,0.06,7193,0.003892673432503768
1.5,1.0,0.09,7395,0.0009465855307639881
1.5,1.0,0.12,7231,0.00013829345871940735
1.5,1.0,0.15,7300,0.0
1.5,1.2,all,40000,0.00029999999999996696
1.5,1.2,0.0,3637,0.0010998075336815516
1.5,1.2,0.03,7244,0.000552181115405892
1.5,1.2,0.06,7193,0.0005560962046433637
1.5,1.2,0.09,7395,0.0
1.5,1.2,0.12,7231,0.0
1.5,1.2,0.15,7300,0.0
2.0,0.8,all,40000,0.13402499999999995
2.0,0.8,0.0,3637,0.29667308221061317
2.0,0.8,0.03,7244,0.25773053561568193
2.0,0.8,0.06,7193,0.18087029056026693
2.0,0.8,0.09,7395,0.08924949290060857
2.0,0.8,0.12,7231,0.042870972203014834
2.0,0.8,0.15,7300,0.01972602739726026
2.0,1.0,all,40000,0.016974999999999962
2.0,1.0,0.0,3637,0.04481715699752542
2.0,1.0,0.03,7244,0.04141358365543901
2.0,1.0,0.06,7193,0.022382872236896945
2.0,1.0,0.09,7395,0.004868154158215066
2.0,1.0,0.12,7231,0.0026275757156686286
2.0,1.0,0.15,7300,0.0
2.0,1.2,all,40000,0.0021499999999999853
2.0,1.2,0.0,3637,0.006048941435248811
2.0,1.2,0.03,7244,0.005383765875207058
2.0,1.2,0.06,7193,0.0026414569720561998
2.0,1.2,0.09,7395,0.0008113590263691961
2.0,1.2,0.12,7231,0.0
2.0,1.2,0.15,7300,0.0
