bound,gain,n,omit,acc,rt_med,rt_90,rt_max,acc_last100ms
weibull(orig),0.8,40000,0.0,0.855,373.0,522.0,615.0,0.626
weibull(orig),1.0,40000,0.0,0.86,258.0,440.0,605.0,0.608
weibull(orig),1.2,40000,0.0,0.836,183.0,364.0,586.0,0.626
1.25,0.8,39573,0.011,0.824,112.0,335.0,750.0,0.704
1.25,1.0,39967,0.001,0.795,78.0,220.0,742.0,0.667
1.25,1.2,39998,0.0,0.771,61.0,168.0,742.0,0.444
1.5,0.8,38640,0.034,0.85,145.0,419.0,750.0,0.738
1.5,1.0,39881,0.003,0.816,99.0,274.0,750.0,0.707
1.5,1.2,39988,0.0,0.791,76.0,205.0,744.0,0.529
2.0,0.8,34639,0.134,0.892,203.0,530.0,750.0,0.802
2.0,1.0,39321,0.017,0.848,136.0,371.0,750.0,0.706
2.0,1.2,39914,0.002,0.815,102.0,266.0,749.0,0.618
