gain,g,slope,acc
0.8,-15.0,-0.07109114006381385,0.75355
0.8,-12.5,-0.06893727226197933,0.77305
0.8,-10.0,-0.06658777045014438,0.79325
0.8,-7.5,-0.05900735967637046,0.8181
0.8,-5.0,-0.04752938260907825,0.8483
0.8,-2.5,-0.02740839052513613,0.87625
0.8,0.0,-0.0008310163310495147,0.8923
0.8,2.5,0.026391748652550437,0.8829
0.8,5.0,0.045966906211199,0.8569
0.8,7.5,0.057919125413433276,0.8315
0.8,10.0,0.06530267765882869,0.80785
0.8,12.5,0.06942179877101547,0.7882
0.8,15.0,0.07117041467287478,0.77035
1.0,-15.0,-0.06829036262776814,0.7455
1.0,-12.5,-0.06673444841282687,0.7623
1.0,-10.0,-0.06467029063090456,0.7846
1.0,-7.5,-0.05960553412437732,0.80925
1.0,-5.0,-0.04788768195541418,0.83815
1.0,-2.5,-0.029344301298442482,0.86905
1.0,0.0,-0.001504420686810596,0.88555
1.0,2.5,0.02526430111359858,0.87545
1.0,5.0,0.04580131653255681,0.84915
1.0,7.5,0.05957416569549959,0.81935
1.0,10.0,0.06587282428832819,0.7953
1.0,12.5,0.06927033414842602,0.7762
1.0,15.0,0.07141352479733014,0.7609
1.2,-15.0,-0.07266357311896424,0.74595
1.2,-12.5,-0.0703326597800824,0.7635
1.2,-10.0,-0.0680294578234244,0.7834
1.2,-7.5,-0.061223139942846005,0.80885
1.2,-5.0,-0.047780971194480985,0.83985
1.2,-2.5,-0.027357220905579564,0.8715
1.2,0.0,-0.0005218335997232653,0.88335
1.2,2.5,0.02724254692527166,0.8698
1.2,5.0,0.04821982273315942,0.84005
1.2,7.5,0.05903125647214605,0.8138
1.2,10.0,0.06678772227313028,0.7905
1.2,12.5,0.07067853810698367,0.76965
1.2,15.0,0.07122676023804732,0.7527
