param,true,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,cell,g_true,a_true,n,variant,n_divergences,total_draws,frac_dropped,sampling_minutes,frac_divergent,covered
v,0.0,-0.032,0.046,-0.113,0.059,0.001,0.001,1664.0,1928.0,1.0,0,-1.0,1.0,1000,nolapse_nodeadline,0,4000,0.0,1.8378873268763225,0.0,True
a,1.0,0.848,0.066,0.745,0.971,0.002,0.001,813.0,1015.0,1.0,0,-1.0,1.0,1000,nolapse_nodeadline,0,4000,0.0,1.8378873268763225,0.0,False
z,0.5,0.509,0.012,0.488,0.53,0.0,0.0,1644.0,2081.0,1.0,0,-1.0,1.0,1000,nolapse_nodeadline,0,4000,0.0,1.8378873268763225,0.0,True
g,-1.0,0.023,0.529,-0.837,1.0,0.018,0.009,807.0,923.0,1.0,0,-1.0,1.0,1000,nolapse_nodeadline,0,4000,0.0,1.8378873268763225,0.0,False
t,0.1,0.125,0.013,0.1,0.148,0.0,0.0,848.0,1111.0,1.0,0,-1.0,1.0,1000,nolapse_nodeadline,0,4000,0.0,1.8378873268763225,0.0,True
v,0.0,-0.032,0.046,-0.122,0.051,0.001,0.001,1768.0,1971.0,1.0,0,-1.0,1.0,1000,nolapse,0,4000,0.0,1.4542749206225076,0.0,True
a,1.0,0.845,0.065,0.739,0.965,0.002,0.001,721.0,1062.0,1.01,0,-1.0,1.0,1000,nolapse,0,4000,0.0,1.4542749206225076,0.0,False
z,0.5,0.509,0.011,0.488,0.53,0.0,0.0,1627.0,1932.0,1.0,0,-1.0,1.0,1000,nolapse,0,4000,0.0,1.4542749206225076,0.0,True
g,-1.0,0.048,0.528,-0.838,0.994,0.02,0.008,702.0,919.0,1.01,0,-1.0,1.0,1000,nolapse,0,4000,0.0,1.4542749206225076,0.0,False
t,0.1,0.126,0.013,0.1,0.147,0.0,0.0,856.0,1219.0,1.01,0,-1.0,1.0,1000,nolapse,0,4000,0.0,1.4542749206225076,0.0,True
v,0.0,-0.036,0.048,-0.124,0.053,0.001,0.001,1581.0,1880.0,1.0,0,-1.0,1.0,1000,default,0,4000,0.0,1.7817126035690307,0.0,True
a,1.0,0.851,0.071,0.736,0.975,0.003,0.001,672.0,1222.0,1.01,0,-1.0,1.0,1000,default,0,4000,0.0,1.7817126035690307,0.0,False
z,0.5,0.509,0.012,0.487,0.531,0.0,0.0,1478.0,2082.0,1.0,0,-1.0,1.0,1000,default,0,4000,0.0,1.7817126035690307,0.0,True
g,-1.0,-0.092,0.575,-1.0,0.837,0.022,0.008,667.0,971.0,1.0,0,-1.0,1.0,1000,default,0,4000,0.0,1.7817126035690307,0.0,True
t,0.1,0.126,0.014,0.101,0.151,0.001,0.0,763.0,1155.0,1.01,0,-1.0,1.0,1000,default,0,4000,0.0,1.7817126035690307,0.0,False
v,0.0,-0.003,0.024,-0.048,0.042,0.001,0.0,1635.0,1958.0,1.0,1,-1.0,1.0,3700,nolapse_nodeadline,0,4000,0.0,7.104227121671041,0.0,True
a,1.0,0.839,0.039,0.766,0.899,0.001,0.001,849.0,1606.0,1.01,1,-1.0,1.0,3700,nolapse_nodeadline,0,4000,0.0,7.104227121671041,0.0,False
z,0.5,0.495,0.006,0.484,0.507,0.0,0.0,1378.0,1874.0,1.0,1,-1.0,1.0,3700,nolapse_nodeadline,0,4000,0.0,7.104227121671041,0.0,True
g,-1.0,0.037,0.352,-0.433,0.741,0.013,0.006,847.0,1725.0,1.01,1,-1.0,1.0,3700,nolapse_nodeadline,0,4000,0.0,7.104227121671041,0.0,False
t,0.1,0.131,0.008,0.118,0.145,0.0,0.0,885.0,1803.0,1.01,1,-1.0,1.0,3700,nolapse_nodeadline,0,4000,0.0,7.104227121671041,0.0,False
v,0.0,-0.003,0.024,-0.048,0.042,0.001,0.0,1635.0,1958.0,1.0,1,-1.0,1.0,3700,nolapse,0,4000,0.0,6.794058628877004,0.0,True
a,1.0,0.839,0.039,0.766,0.899,0.001,0.001,849.0,1606.0,1.01,1,-1.0,1.0,3700,nolapse,0,4000,0.0,6.794058628877004,0.0,False
z,0.5,0.495,0.006,0.484,0.507,0.0,0.0,1378.0,1874.0,1.0,1,-1.0,1.0,3700,nolapse,0,4000,0.0,6.794058628877004,0.0,True
g,-1.0,0.037,0.352,-0.433,0.741,0.013,0.006,847.0,1725.0,1.01,1,-1.0,1.0,3700,nolapse,0,4000,0.0,6.794058628877004,0.0,False
t,0.1,0.131,0.008,0.118,0.145,0.0,0.0,885.0,1803.0,1.01,1,-1.0,1.0,3700,nolapse,0,4000,0.0,6.794058628877004,0.0,False
v,0.0,-0.007,0.025,-0.056,0.039,0.001,0.001,777.0,1435.0,1.01,1,-1.0,1.0,3700,default,1,4000,0.0,8.922850326697032,0.00025,True
a,1.0,0.874,0.076,0.754,0.989,0.013,0.004,52.0,393.0,1.08,1,-1.0,1.0,3700,default,1,4000,0.0,8.922850326697032,0.00025,False
z,0.5,0.497,0.006,0.485,0.509,0.0,0.0,365.0,1341.0,1.02,1,-1.0,1.0,3700,default,1,4000,0.0,8.922850326697032,0.00025,True
g,-1.0,-0.287,0.575,-1.0,0.681,0.088,0.016,50.0,487.0,1.06,1,-1.0,1.0,3700,default,1,4000,0.0,8.922850326697032,0.00025,True
t,0.1,0.126,0.014,0.102,0.149,0.002,0.001,50.0,361.0,1.07,1,-1.0,1.0,3700,default,1,4000,0.0,8.922850326697032,0.00025,False
v,0.0,-0.019,0.039,-0.091,0.058,0.001,0.001,1383.0,1760.0,1.0,2,-1.0,1.5,1000,nolapse_nodeadline,0,4000,0.0,1.3351367314656575,0.0,True
a,1.5,1.146,0.071,1.013,1.269,0.003,0.004,1038.0,555.0,1.0,2,-1.0,1.5,1000,nolapse_nodeadline,0,4000,0.0,1.3351367314656575,0.0,False
z,0.5,0.508,0.011,0.487,0.527,0.0,0.0,1418.0,1964.0,1.0,2,-1.0,1.5,1000,nolapse_nodeadline,0,4000,0.0,1.3351367314656575,0.0,True
g,-1.0,-0.327,0.203,-0.697,0.103,0.007,0.007,1154.0,543.0,1.0,2,-1.0,1.5,1000,nolapse_nodeadline,0,4000,0.0,1.3351367314656575,0.0,False
t,0.1,0.193,0.019,0.158,0.225,0.001,0.001,1142.0,682.0,1.0,2,-1.0,1.5,1000,nolapse_nodeadline,0,4000,0.0,1.3351367314656575,0.0,False
v,0.0,-0.019,0.04,-0.095,0.054,0.001,0.001,1295.0,1589.0,1.0,2,-1.0,1.5,1000,nolapse,0,4000,0.008000000000000007,2.6922930121421813,0.0,True
a,1.5,1.176,0.1,1.033,1.396,0.005,0.003,683.0,935.0,1.0,2,-1.0,1.5,1000,nolapse,0,4000,0.008000000000000007,2.6922930121421813,0.0,False
z,0.5,0.507,0.01,0.488,0.527,0.0,0.0,1320.0,1728.0,1.0,2,-1.0,1.5,1000,nolapse,0,4000,0.008000000000000007,2.6922930121421813,0.0,True
g,-1.0,-0.471,0.264,-1.0,-0.109,0.011,0.007,660.0,812.0,1.0,2,-1.0,1.5,1000,nolapse,0,4000,0.008000000000000007,2.6922930121421813,0.0,True
t,0.1,0.189,0.024,0.139,0.227,0.001,0.001,718.0,967.0,1.0,2,-1.0,1.5,1000,nolapse,0,4000,0.008000000000000007,2.6922930121421813,0.0,False
v,0.0,-0.023,0.041,-0.1,0.054,0.001,0.001,1369.0,1510.0,1.0,2,-1.0,1.5,1000,default,0,4000,0.008000000000000007,1.7984931906064352,0.0,True
a,1.5,1.111,0.084,0.982,1.317,0.003,0.004,866.0,629.0,1.01,2,-1.0,1.5,1000,default,0,4000,0.008000000000000007,1.7984931906064352,0.0,False
z,0.5,0.511,0.011,0.49,0.531,0.0,0.0,1460.0,1659.0,1.01,2,-1.0,1.5,1000,default,0,4000,0.008000000000000007,1.7984931906064352,0.0,True
g,-1.0,-0.354,0.26,-0.999,0.004,0.009,0.009,907.0,592.0,1.01,2,-1.0,1.5,1000,default,0,4000,0.008000000000000007,1.7984931906064352,0.0,False
