bound,gain,n,omit_net,omit_model,g_native,g_lo,g_hi,edge_mass_g,a_native,v_native_015,r_hat_max,ess_bulk_min,divergences,median_rt_net,median_rt_model,pc_net,pc_model
1.5,0.8,,0.034,0.016840673626945076,9.9800085795,9.931345598,9.999312945,1.0,0.3797536834371645,3.823535291551872,1.0,2497.0,0,145.0,137.7,0.8494565217391304,0.8398567824884042
1.5,1.0,,0.0029749999999999,0.00196,9.957361532250001,9.855515501000001,9.997828285,0.9875,0.32343184641336675,4.083550416729508,1.0,2474.0,0,99.0,95.19999999999999,0.8156515634011183,0.8099875756482706
1.5,1.2,,0.0002999999999999,0.00036001440057602306,9.197487193999999,8.744289218999999,9.65365937,0.01,0.29105528716475587,4.1045088308664806,1.0,1815.0,0,76.0,74.39999999999998,0.7898369510853256,0.7929171668667467
2.0,0.8,,0.1340249999999999,0.05560222408896356,9.971459703,9.909397599,9.998858501,0.9975,0.4307444488215723,3.8147921495564945,1.0,2113.0,0,203.0,182.9,0.8913940933629724,0.8780126223050532
2.0,1.0,,0.0169749999999999,0.011520460818432738,9.947683375499999,9.815955901999999,9.996979075,0.98,0.3681909894933148,4.1136787750718105,1.0,2341.0,0,136.0,130.70000000000002,0.8474352127361969,0.8416090000404678
2.0,1.2,,0.0021499999999999,0.001360054402176087,4.8738150905,4.3083934909999995,5.428862639999999,0.0,0.3575489446236027,4.032445881668684,1.0,1659.0,0,102.0,98.5,0.8146264468607506,0.8132986180652914
2.5,0.8,,0.3069499999999999,0.09279628814847406,6.73678210775,6.230389829999999,7.228043769999999,0.0,0.517107496156087,3.5935584956728546,1.0,1636.0,0,255.0,215.80000000000004,0.9230935718923599,0.9131872492394515
2.5,1.0,,0.10055,0.0266,5.752145045250001,5.3363526199999995,6.191418762,0.0,0.4451695417931904,3.915090545112319,1.0,1525.0,0,171.0,160.89999999999998,0.8700594807938185,0.8582288884322992
2.5,1.2,,0.0556999999999999,0.0078,4.7252223405,4.241723758,5.225553702,0.0,0.39229516532521863,3.86338917785501,1.0,1765.0,0,127.0,123.9,0.8332097850259451,0.8204394275347712
2.94,0.8,,0.669,0.14607415703371865,9.89348084975,9.63637584,9.99521468,0.85,0.5090157530361493,3.430912002094567,1.0,1806.0,1,321.0,261.90000000000003,0.9526435045317221,0.9431355098599467
2.94,1.0,,0.303625,0.0564,2.26473381025,1.949460379,2.583100301,0.0,0.5672987201903322,3.4842096450796567,1.0,1660.0,0,229.0,204.60000000000002,0.8931610123855681,0.8785926239932175
2.94,1.2,,0.1431,0.01824,0.811383180725,0.4832993984999999,1.112483876,0.0,0.5018673745794655,3.589005219551637,1.0,1864.0,0,166.0,161.14999999999998,0.8486696230598669,0.8422425032594524
