fit,gain,slope_net,slope_model,rms_bins,frac_bounded
"HSSM, threshold 1.5",0.8,0.0391732580670018,-0.0408193646691085,0.1838785437329244,0.97595
"HSSM, threshold 1.5",1.0,0.0021389293040139,-0.0565013752353609,0.15106638831116798,0.996925
"HSSM, threshold 1.5",1.2,-0.0260520827734913,-0.0642777951115155,0.11924994935666638,0.999525
"HSSM, threshold 2.0",0.8,0.0391732580670018,-0.023543495737343,0.14598141897287092,0.927925
"HSSM, threshold 2.0",1.0,0.0021389293040139,-0.0445010280962088,0.11201969532359156,0.98375
"HSSM, threshold 2.0",1.2,-0.0260520827734913,-0.0570983149484553,0.08665430420226487,0.997
"HSSM, threshold 2.5",0.8,0.0391732580670018,-0.0113954642947332,0.12016326830694188,0.8751
"HSSM, threshold 2.5",1.0,0.0021389293040139,-0.0352028834144476,0.08805242698015658,0.9656
"HSSM, threshold 2.5",1.2,-0.0260520827734913,-0.051558152358479,0.06496954193898256,0.991525
"HSSM, threshold 2.94",0.8,0.0391732580670018,0.0063031136772871,0.08395700244128991,0.77465
"HSSM, threshold 2.94",1.0,0.0021389293040139,-0.0245236790636114,0.06510064819312114,0.931625
"HSSM, threshold 2.94",1.2,-0.0260520827734913,-0.0425393268930988,0.04566873196614942,0.9791
"Track B, choice given evidence",0.8,0.0391732580670018,0.0408936189772399,0.003928149894402565,
"Track B, choice given evidence",1.0,0.0021389293040139,0.0024228018797782,0.009002559378929607,
"Track B, choice given evidence",1.2,-0.0260520827734913,-0.0307815059418236,0.020598073427877665,
