bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
1.5,0.8,0.25,0.0,False,1713,98.0,0.5154980439362022,98.21968749999999,0.5005484121157098,80
1.5,0.8,0.25,0.0,True,1610,103.0,0.4845019560637977,97.550625,0.4994515878842902,80
1.5,0.8,0.25,0.03,False,2039,103.0,0.3042375410325276,93.220625,0.3190742292541763,80
1.5,0.8,0.25,0.03,True,4663,98.0,0.6957624589674724,96.1309375,0.6809257707458236,80
1.5,0.8,0.25,0.06,False,1109,86.0,0.1614264919941775,83.404375,0.1806763952909452,80
1.5,0.8,0.25,0.06,True,5761,93.0,0.8385735080058224,89.095,0.8193236047090547,80
1.5,0.8,0.25,0.09,False,571,76.0,0.078509555891654,72.4040625,0.09529187814474298,80
1.5,0.8,0.25,0.09,True,6702,82.0,0.921490444108346,79.88031249999999,0.9047081218552571,80
1.5,0.8,0.25,0.12,False,269,58.0,0.0374808415772606,62.5,0.048074371443517096,80
1.5,0.8,0.25,0.12,True,6908,71.0,0.9625191584227392,70.358125,0.9519256285564829,80
1.5,0.8,0.25,0.15,False,106,43.5,0.0145305003427004,53.686249999999994,0.024401974900919353,80
1.5,0.8,0.25,0.15,True,7189,61.0,0.9854694996572996,62.3715625,0.9755980250990806,80
1.5,0.8,0.5,0.0,False,1713,194.0,0.5154980439362022,186.4075,0.5005484121157098,80
1.5,0.8,0.5,0.0,True,1610,191.0,0.4845019560637977,186.06187500000001,0.4994515878842902,80
1.5,0.8,0.5,0.03,False,2039,200.0,0.3042375410325276,176.62125,0.3190742292541763,80
1.5,0.8,0.5,0.03,True,4663,190.0,0.6957624589674724,180.47875000000002,0.6809257707458236,80
1.5,0.8,0.5,0.06,False,1109,167.0,0.1614264919941775,155.39249999999998,0.1806763952909452,80
1.5,0.8,0.5,0.06,True,5761,178.0,0.8385735080058224,163.53812499999998,0.8193236047090547,80
1.5,0.8,0.5,0.09,False,571,143.0,0.078509555891654,131.25124999999997,0.09529187814474298,80
1.5,0.8,0.5,0.09,True,6702,150.0,0.921490444108346,141.726875,0.9047081218552571,80
1.5,0.8,0.5,0.12,False,269,96.0,0.0374808415772606,108.39874999999999,0.048074371443517096,80
1.5,0.8,0.5,0.12,True,6908,126.0,0.9625191584227392,120.13624999999999,0.9519256285564829,80
1.5,0.8,0.5,0.15,False,106,81.5,0.0145305003427004,88.5925,0.024401974900919353,80
1.5,0.8,0.5,0.15,True,7189,102.0,0.9854694996572996,101.96687499999999,0.9755980250990806,80
1.5,0.8,0.75,0.0,False,1713,356.0,0.5154980439362022,327.56968750000004,0.5005484121157098,80
1.5,0.8,0.75,0.0,True,1610,352.0,0.4845019560637977,327.00250000000005,0.4994515878842902,80
1.5,0.8,0.75,0.03,False,2039,343.5,0.3042375410325276,314.70093750000007,0.3190742292541763,80
1.5,0.8,0.75,0.03,True,4663,335.0,0.6957624589674724,317.76750000000004,0.6809257707458236,80
1.5,0.8,0.75,0.06,False,1109,318.0,0.1614264919941775,278.20125,0.1806763952909452,80
1.5,0.8,0.75,0.06,True,5761,318.0,0.8385735080058224,286.01531250000005,0.8193236047090547,80
1.5,0.8,0.75,0.09,False,571,240.0,0.078509555891654,232.8765625,0.09529187814474298,80
1.5,0.8,0.75,0.09,True,6702,263.0,0.921490444108346,243.63406250000003,0.9047081218552571,80
1.5,0.8,0.75,0.12,False,269,200.0,0.0374808415772606,189.1078125,0.048074371443517096,80
1.5,0.8,0.75,0.12,True,6908,217.0,0.9625191584227392,202.18250000000003,0.9519256285564829,80
1.5,0.8,0.75,0.15,False,106,134.0,0.0145305003427004,150.32718749999998,0.024401974900919353,80
1.5,0.8,0.75,0.15,True,7189,172.0,0.9854694996572996,166.443125,0.9755980250990806,80
1.5,1.0,0.25,0.0,False,1834,66.0,0.5078925505400166,66.5309375,0.5005418834053929,80
1.5,1.0,0.25,0.0,True,1777,69.0,0.4921074494599833,66.63718750000001,0.49945811659460715,80
1.5,1.0,0.25,0.03,False,2398,64.25,0.3336579935995547,63.985,0.34302818847339694,80
1.5,1.0,0.25,0.03,True,4789,66.0,0.6663420064004453,65.43843749999999,0.656971811526603,80
1.5,1.0,0.25,0.06,False,1509,58.0,0.2106071179344033,58.88343749999999,0.2149838913049488,80
1.5,1.0,0.25,0.06,True,5656,62.0,0.7893928820655967,61.502187500000005,0.7850161086950511,80
1.5,1.0,0.25,0.09,False,881,53.0,0.1192474282620465,52.9046875,0.12599997798427848,80
1.5,1.0,0.25,0.09,True,6507,56.5,0.8807525717379534,56.175,0.8740000220157214,80
1.5,1.0,0.25,0.12,False,467,46.5,0.0645919778699861,46.115625,0.0707247589945195,80
1.5,1.0,0.25,0.12,True,6763,51.0,0.9354080221300138,50.754062499999996,0.9292752410054806,80
1.5,1.0,0.25,0.15,False,250,41.0,0.0342465753424657,42.021249999999995,0.03902807993964265,80
1.5,1.0,0.25,0.15,True,7050,45.0,0.9657534246575342,45.8084375,0.9609719200603573,80
1.5,1.0,0.5,0.0,False,1834,120.0,0.5078925505400166,122.87125,0.5005418834053929,80
1.5,1.0,0.5,0.0,True,1777,126.0,0.4921074494599833,122.95437499999998,0.49945811659460715,80
1.5,1.0,0.5,0.03,False,2398,124.0,0.3336579935995547,118.16375000000001,0.34302818847339694,80
