bound,gain,coh,n_net,pc_net,pc_model,med_net,med_model,g,g_lo,g_hi
1.5,0.8,0.03,6702,0.6957624589674724,0.6850405996252342,193.0,176.70000000000002,9.9800085795,9.928355217500002,9.999544785
1.5,0.8,0.09,7273,0.9214904441083459,0.904408797417272,150.0,142.9,9.9800085795,9.928355217500002,9.999544785
1.5,0.8,0.15,7295,0.9854694996572996,0.976640656262505,102.0,102.55,9.9800085795,9.928355217500002,9.999544785
1.5,1.0,0.03,7187,0.6663420064004453,0.6599206548485914,122.0,118.49999999999999,9.957361532250001,9.84603715,9.998032782500001
1.5,1.0,0.09,7388,0.8807525717379534,0.8763763763763763,102.0,97.89999999999999,9.957361532250001,9.84603715,9.998032782500001
1.5,1.0,0.15,7300,0.9657534246575342,0.9633481674083704,73.0,74.6,9.957361532250001,9.84603715,9.998032782500001
1.5,1.2,0.03,7240,0.648756906077348,0.6402280456091218,89.0,89.69999999999997,9.197487193999999,8.717437069999999,9.6905531675
1.5,1.2,0.09,7395,0.8474645030425964,0.84665,78.0,75.69999999999999,9.197487193999999,8.717437069999999,9.6905531675
1.5,1.2,0.15,7300,0.9431506849315069,0.94075,60.0,60.5,9.197487193999999,8.717437069999999,9.6905531675
2.5,0.8,0.03,3654,0.7816091954022989,0.7329849771391248,332.0,292.6000000000001,6.73678210775,6.20184461,7.23317445
2.5,0.8,0.09,5544,0.9788961038961039,0.9520773677670322,273.0,236.30000000000004,6.73678210775,6.20184461,7.23317445
2.5,0.8,0.15,6432,0.9982898009950248,0.9924918115394306,191.0,168.50000000000003,6.73678210775,6.20184461,7.23317445
2.5,1.0,0.03,6116,0.7271092217135383,0.7045794192997438,226.0,213.80000000000004,5.752145045250001,5.322954435000001,6.195328625
2.5,1.0,0.09,6834,0.9462979221539362,0.9302620242258375,176.0,165.39999999999998,5.752145045250001,5.322954435000001,6.195328625
2.5,1.0,0.15,6817,0.9909050902156373,0.9869421652991796,121.0,119.29999999999998,5.752145045250001,5.322954435000001,6.195328625
2.5,1.2,0.03,6711,0.683206675607212,0.671030598264576,158.0,156.4,4.7252223405,4.2337028425,5.2489163875
2.5,1.2,0.09,7038,0.9040920716112532,0.8928786359077232,130.0,125.4,4.7252223405,4.2337028425,5.2489163875
2.5,1.2,0.15,6960,0.9780172413793103,0.9717985899294965,96.0,96.4,4.7252223405,4.2337028425,5.2489163875
2.94,0.8,0.03,1190,0.8344537815126051,0.7461389961389961,377.5,343.79999999999995,9.89348084975,9.625059035,9.996177545
2.94,0.8,0.09,2641,0.9897765997728133,0.958250973345313,344.0,291.1,9.89348084975,9.625059035,9.996177545
2.94,0.8,0.15,3925,0.999235668789809,0.9933542836535985,273.0,220.8,9.89348084975,9.625059035,9.996177545
2.94,1.0,0.03,4382,0.7581013235965313,0.7167213870168769,304.0,270.40000000000003,2.26473381025,1.943003705,2.6187433924999994
2.94,1.0,0.09,5366,0.9670145359672009,0.941298271042551,232.0,216.00000000000003,2.26473381025,1.943003705,2.6187433924999994
2.94,1.0,0.15,5709,0.9959712734279208,0.991325711993582,167.0,157.0,2.26473381025,1.943003705,2.6187433924999994
2.94,1.2,0.03,5989,0.6982801803306061,0.6860483323764288,206.0,202.40000000000006,0.811383180725,0.47861409424999996,1.115802759
2.94,1.2,0.09,6419,0.9230409721140365,0.9086045924804441,168.0,163.99999999999997,0.811383180725,0.47861409424999996,1.115802759
2.94,1.2,0.15,6385,0.9882537196554424,0.9818936627819737,123.0,123.69999999999999,0.811383180725,0.47861409424999996,1.115802759
