seed,gain,coh,n,p_net,p_mod
42,0.8,-0.15,214,0.0,0.0013654740320035309
42,0.8,-0.12,168,0.041666666666666664,0.02940883350961661
42,0.8,-0.09,155,0.05806451612903226,0.04663945908191166
42,0.8,-0.06,183,0.15300546448087432,0.1449612532730113
42,0.8,-0.03,187,0.28342245989304815,0.2817835957099997
42,0.8,0.0,180,0.48333333333333334,0.49985601786752654
42,0.8,0.03,186,0.6720430107526881,0.6831554562052767
42,0.8,0.06,177,0.8361581920903954,0.8628414555043127
42,0.8,0.09,163,0.9570552147239264,0.9480156134256843
42,0.8,0.12,191,0.9947643979057592,0.9879594036937358
42,0.8,0.15,196,1.0,0.9989832486004139
42,1.0,-0.15,214,0.0,8.94389755160196e-05
42,1.0,-0.12,168,0.005952380952380952,0.002392896541762019
42,1.0,-0.09,155,0.0,0.007779125357795143
42,1.0,-0.06,183,0.0546448087431694,0.03338738209923607
42,1.0,-0.03,187,0.1657754010695187,0.13912119190142558
42,1.0,0.0,180,0.36666666666666664,0.3641040193747079
42,1.0,0.03,186,0.5913978494623656,0.6133218677832404
42,1.0,0.06,177,0.8192090395480226,0.8449648053923949
42,1.0,0.09,163,0.9570552147239264,0.9577298284383268
42,1.0,0.12,191,0.9947643979057592,0.9943751347538654
42,1.0,0.15,196,1.0,0.9997781829866141
42,1.2,-0.15,214,0.0,0.0002056034577984462
42,1.2,-0.12,168,0.0,0.0034740105317008405
42,1.2,-0.09,155,0.012903225806451613,0.01295902810002456
42,1.2,-0.06,183,0.04371584699453552,0.042783867703180545
42,1.2,-0.03,187,0.15508021390374332,0.15038165672686177
42,1.2,0.0,180,0.39444444444444443,0.3580658064450905
42,1.2,0.03,186,0.553763440860215,0.5861576989473349
42,1.2,0.06,177,0.8418079096045198,0.8176383578697841
42,1.2,0.09,163,0.9325153374233128,0.9379110001183164
42,1.2,0.12,191,0.9790575916230366,0.9877785495228208
42,1.2,0.15,196,0.9948979591836735,0.9969587368319809
43,0.8,-0.15,214,0.0,0.0002226821238273272
43,0.8,-0.12,168,0.011904761904761904,0.00706753374107241
43,0.8,-0.09,155,0.01935483870967742,0.014062550653092283
43,0.8,-0.06,183,0.08196721311475409,0.06311996717842701
43,0.8,-0.03,187,0.15508021390374332,0.18142287137657648
