tag,kind,gain,k,bound,seed,n,n_seeds,subsample,t_fixed,t_native_ms,omission_frac,rt_min_native_ms,rt_median_native_ms,accuracy,p_choice_plus,draws,tune,chains,total_draws,divergences,divergence_frac,r_hat_max,ess_bulk_min,minutes,priors,edge_a,edge_g,edge_v0p15,edge_z,v_Intercept_mean,v_Intercept_sd,v_Intercept_hdi3,v_Intercept_hdi97,v_Intercept_r_hat,v_Intercept_ess_bulk,v_coherence_signed_mean,v_coherence_signed_sd,v_coherence_signed_hdi3,v_coherence_signed_hdi97,v_coherence_signed_r_hat,v_coherence_signed_ess_bulk,a_mean,a_sd,a_hdi3,a_hdi97,a_r_hat,a_ess_bulk,z_mean,z_sd,z_hdi3,z_hdi97,z_r_hat,z_ess_bulk,g_mean,g_sd,g_hdi3,g_hdi97,g_r_hat,g_ess_bulk,v0p15_mean,v0p15_sd,v0p15_hdi3,v0p15_hdi97,v0p15_r_hat,v0p15_ess_bulk,v0_mean,v0_sd,v0_hdi3,v0_hdi97,v0_r_hat,v0_ess_bulk,vm0p15_mean,vm0p15_sd,vm0p15_hdi3,vm0p15_hdi97,vm0p15_r_hat,vm0p15_ess_bulk,g_nat_mean,g_nat_sd,g_nat_hdi3,g_nat_hdi97,g_nat_r_hat,g_nat_ess_bulk,a_nat_mean,a_nat_sd,a_nat_hdi3,a_nat_hdi97,a_nat_r_hat,a_nat_ess_bulk,v_nat0p15_mean,v_nat0p15_sd,v_nat0p15_hdi3,v_nat0p15_hdi97,v_nat0p15_r_hat,v_nat0p15_ess_bulk
appendix_weibull_g1.0_k4_s42,appendix_weibull,1.0,4.0,1.5,,2000,1,all,0.436,34.0,0.0,35.0,285.0,0.87,0.523,1000,1000,4,4000,0,0.0,1.0,1742.0,2.3006749073664348,box uniform (explicit),0.0,0.0,0.0,0.0,0.039,0.03,-0.016,0.098,1.0,2515.0,11.619,0.288,11.083,12.166,1.0,2371.0,1.206,0.037,1.133,1.273,1.0,1742.0,0.49,0.008,0.475,0.505,1.0,2309.0,-0.106,0.142,-0.367,0.16,1.0,1767.0,1.782,0.052,1.692,1.884,1.0,2532.0,0.039,0.03,-0.016,0.098,1.0,2515.0,-1.704,0.053,-1.81,-1.608,1.0,2159.0,-0.425,0.568,-1.468,0.64,1.0,1767.0,0.603,0.019,0.566,0.637,1.0,1742.0,3.563,0.104,3.383,3.768,1.0,2532.0
appendix_weibull_g1.0_k10_s42,appendix_weibull,1.0,10.0,1.5,,2000,1,all,0.64,34.0,0.0,35.0,285.0,0.87,0.523,1000,1000,4,4000,0,0.0,1.0,1778.0,1.6606584350268045,box uniform (explicit),0.0,0.0,0.0,0.0,0.03,0.021,-0.008,0.069,1.0,2200.0,7.623,0.188,7.274,7.984,1.0,2591.0,2.193,0.045,2.109,2.276,1.0,1778.0,0.486,0.007,0.473,0.499,1.0,2041.0,-0.219,0.034,-0.278,-0.154,1.0,1820.0,1.173,0.034,1.103,1.232,1.0,2381.0,0.03,0.021,-0.008,0.069,1.0,2200.0,-1.114,0.035,-1.183,-1.05,1.0,2414.0,-2.188,0.337,-2.777,-1.535,1.0,1820.0,0.694,0.014,0.667,0.72,1.0,1778.0,3.71,0.109,3.488,3.897,1.0,2381.0
g1.0_k10_b1.5_pooled_hier_n2000_smoke,hierarchical,1.0,10.0,1.5,,2000,20,stratified 100/seed -> 2000,0.35,4.999999999999999,0.00297499999999995,6.0,96.0,0.8305,0.5005,20,20,1,20,0,0.0,,8.0,1.07473091284434,"hierarchical, link_settings=log_logit, explicit wide normals on the logit scale",0.0,0.0,0.0,0.0,-0.055,0.036,-0.093,0.021,,26.0,9.868,0.291,9.272,10.27,,26.0,,,,,,,0.51,0.006,0.497,0.516,,26.0,,,,,,,1.224,0.033,1.169,1.274,,26.0,-0.055,0.036,-0.093,0.021,,26.0,-1.29,0.036,-1.341,-1.225,,23.0,9.164,0.441,8.547,9.676,,8.0,0.326,0.003,0.321,0.332,,11.0,3.871,0.104,3.698,4.027,,26.0
g0.8_k10_b1.5_s42,per_network,0.8,10.0,1.5,42.0,1926,1,all,0.4,10.000000000000004,0.03700000000000003,11.0,153.0,0.8400830737279336,0.5711318795430945,1000,1000,4,4000,0,0.0,1.0,2082.0,2.6297375321388246,box uniform (explicit),0.0,0.5285,0.0,0.0,0.171,0.02,0.134,0.207,1.0,2280.0,8.347,0.225,7.91,8.761,1.0,2794.0,1.216,0.011,1.195,1.238,1.0,2458.0,0.566,0.009,0.548,0.583,1.0,2179.0,0.974,0.024,0.93,1.0,1.0,2082.0,1.423,0.042,1.347,1.501,1.0,2430.0,0.171,0.02,0.134,0.207,1.0,2280.0,-1.081,0.036,-1.147,-1.012,1.0,2988.0,9.745,0.239,9.3,10.0,1.0,2082.0,0.385,0.004,0.378,0.392,1.0,2458.0,4.501,0.132,4.258,4.747,1.0,2430.0
g0.8_k10_b1.5_s43,per_network,0.8,10.0,1.5,43.0,1916,1,all,0.4,10.000000000000004,0.04200000000000004,11.0,150.0,0.860125260960334,0.4394572025052192,1000,1000,4,4000,0,0.0,1.0,2813.0,2.631678553422292,box uniform (explicit),0.0,0.79475,0.0,0.0,-0.103,0.019,-0.139,-0.066,1.0,2813.0,8.183,0.22,7.785,8.611,1.0,3080.0,1.187,0.01,1.168,1.205,1.0,3127.0,0.467,0.009,0.449,0.482,1.0,3007.0,0.987,0.013,0.964,1.0,1.0,2888.0,1.125,0.037,1.056,1.196,1.0,3061.0,-0.103,0.019,-0.139,-0.066,1.0,2813.0,-1.33,0.039,-1.402,-1.256,1.0,2994.0,9.872,0.127,9.641,10.0,1.0,2888.0,0.375,0.003,0.369,0.381,1.0,3127.0,3.557,0.117,3.341,3.782,1.0,3061.0
g0.8_k10_b1.5_s44,per_network,0.8,10.0,1.5,44.0,1920,1,all,0.4,10.000000000000004,0.040000000000000036,11.0,160.0,0.8635416666666667,0.4765625,1000,1000,4,4000,0,0.0,1.0,2264.0,2.0535622358322145,box uniform (explicit),0.0,0.68,0.0,0.0,-0.043,0.019,-0.079,-0.009,1.0,3053.0,8.307,0.218,7.913,8.718,1.0,2425.0,1.238,0.011,1.219,1.258,1.0,2718.0,0.456,0.009,0.438,0.472,1.0,3026.0,0.983,0.017,0.952,1.0,1.0,2264.0,1.203,0.037,1.13,1.266,1.0,2529.0,-0.043,0.019,-0.079,-0.009,1.0,3053.0,-1.289,0.039,-1.363,-1.217,1.0,2583.0,9.826,0.171,9.518,10.0,1.0,2264.0,0.392,0.003,0.385,0.398,1.0,2718.0,3.805,0.116,3.573,4.003,1.0,2529.0
g0.8_k10_b1.5_s45,per_network,0.8,10.0,1.5,45.0,1893,1,all,0.37,7.000000000000001,0.05349999999999999,8.0,150.0,0.8526148969889065,0.4664553618594823,1000,1000,4,4000,0,0.0,1.0,2233.0,1.6431435585021972,box uniform (explicit),0.0,0.64525,0.0,0.0,-0.025,0.019,-0.06,0.012,1.0,2888.0,8.259,0.222,7.863,8.682,1.0,2831.0,1.216,0.011,1.198,1.238,1.0,2633.0,0.444,0.009,0.428,0.461,1.0,2975.0,0.981,0.018,0.948,1.0,1.0,2233.0,1.214,0.037,1.142,1.283,1.0,2816.0,-0.025,0.019,-0.06,0.012,1.0,2888.0,-1.263,0.039,-1.339,-1.192,1.0,2844.0,9.809,0.185,9.477,10.0,1.0,2233.0,0.385,0.003,0.379,0.391,1.0,2633.0,3.84,0.119,3.612,4.057,1.0,2816.0
g0.8_k10_b1.5_s46,per_network,0.8,10.0,1.5,46.0,1935,1,all,0.37,7.000000000000001,0.03249999999999997,8.0,145.0,0.834625322997416,0.45891472868217054,1000,1000,4,4000,0,0.0,1.0,2025.0,1.388555367787679,box uniform (explicit),0.0,0.49275,0.0,0.0,-0.066,0.02,-0.104,-0.029,1.0,2636.0,8.003,0.225,7.597,8.438,1.0,2693.0,1.184,0.011,1.165,1.205,1.0,2544.0,0.497,0.009,0.48,0.515,1.0,2473.0,0.971,0.028,0.922,1.0,1.0,2025.0,1.135,0.039,1.061,1.206,1.0,2753.0,-0.066,0.02,-0.104,-0.029,1.0,2636.0,-1.266,0.04,-1.345,-1.197,1.0,2692.0,9.713,0.276,9.22,10.0,1.0,2025.0,0.375,0.004,0.368,0.381,1.0,2544.0,3.588,0.123,3.356,3.812,1.0,2753.0
g0.8_k10_b1.5_s47,per_network,0.8,10.0,1.5,47.0,1943,1,all,0.39,9.000000000000004,0.02849999999999997,10.0,141.0,0.8481729284611426,0.471950591868245,1000,1000,4,4000,0,0.0,1.0,2128.0,2.446922067801158,box uniform (explicit),0.0,0.612,0.0,0.0,-0.101,0.02,-0.141,-0.066,1.0,2656.0,8.315,0.232,7.909,8.779,1.0,2881.0,1.161,0.01,1.144,1.181,1.0,2554.0,0.475,0.009,0.458,0.493,1.0,2536.0,0.979,0.02,0.942,1.0,1.0,2128.0,1.146,0.038,1.071,1.213,1.0,2986.0,-0.101,0.02,-0.141,-0.066,1.0,2656.0,-1.349,0.042,-1.422,-1.264,1.0,2700.0,9.793,0.201,9.419,10.0,1.0,2128.0,0.367,0.003,0.362,0.373,1.0,2554.0,3.624,0.12,3.387,3.836,1.0,2986.0
g0.8_k10_b1.5_s48,per_network,0.8,10.0,1.5,48.0,1951,1,all,0.43,13.000000000000002,0.024499999999999966,14.0,134.0,0.8457201435161456,0.5638134290107637,1000,1000,4,4000,0,0.0,1.0,2732.0,2.817137877146403,box uniform (explicit),0.0,0.83725,0.0,0.0,0.139,0.02,0.1,0.177,1.0,2949.0,8.316,0.227,7.893,8.74,1.0,2961.0,1.142,0.009,1.124,1.159,1.0,3244.0,0.56,0.009,0.544,0.577,1.0,2963.0,0.989,0.011,0.97,1.0,1.0,2732.0,1.387,0.042,1.304,1.463,1.0,2788.0,0.139,0.02,0.1,0.177,1.0,2949.0,-1.108,0.037,-1.179,-1.042,1.0,3231.0,9.89,0.107,9.699,10.0,1.0,2732.0,0.361,0.003,0.355,0.366,1.0,3244.0,4.386,0.134,4.124,4.626,1.0,2788.0
