param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,0.03,0.021,-0.008,0.069,0.0,0.0,2200.0,2468.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
v_coherence_signed,7.623,0.188,7.274,7.984,0.004,0.003,2591.0,2304.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
a,2.193,0.045,2.109,2.276,0.001,0.001,1778.0,1514.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
z,0.486,0.007,0.473,0.499,0.0,0.0,2041.0,2286.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
g,-0.219,0.034,-0.278,-0.154,0.001,0.001,1820.0,1443.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
v(0.15),1.173,0.034,1.103,1.232,0.001,0.001,2381.0,2541.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
v(0),0.03,0.021,-0.008,0.069,0.0,0.0,2200.0,2468.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
v(-0.15),-1.114,0.035,-1.183,-1.05,0.001,0.001,2414.0,2050.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
g_native,-2.188,0.337,-2.777,-1.535,0.008,0.008,1820.0,1443.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
a_native,0.694,0.014,0.667,0.72,0.0,0.0,1778.0,1514.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
v_native(0.15),3.71,0.109,3.488,3.897,0.002,0.002,2381.0,2541.0,1.0,1.0,10.0,1.5,0,2000,0.64,appendix_weibull_g1.0_k10_s42
