v_Intercept,v_coherence_signed,a,z,g,t,k,gain,seed_filter
-0.19698192001975304,8.938274,1.1785783,0.42768607,0.96673214,0.39,10.0,0.8,61
-0.22564838628075873,8.614478,1.1810824,0.4226542,0.97898316,0.39,10.0,0.8,61
-0.19804176064084228,8.90182,1.1708431,0.43097532,0.98304796,0.39,10.0,0.8,61
-0.21182422376581933,8.747528,1.1883862,0.4152339,0.98910606,0.39,10.0,0.8,61
-0.19505242814061097,8.623057,1.1765212,0.42428592,0.99987054,0.39,10.0,0.8,61
-0.19853651520905743,8.807362,1.1685504,0.4274857,0.96159184,0.39,10.0,0.8,61
-0.1830579646485367,8.451129,1.1861639,0.40177274,0.98861814,0.39,10.0,0.8,61
-0.19421688014189564,8.346847,1.1766716,0.4100502,0.9367441,0.39,10.0,0.8,61
-0.19672002100285635,9.053734,1.191391,0.416897,0.945686,0.39,10.0,0.8,61
-0.18860689654931076,8.0962715,1.163027,0.4234008,0.9964427,0.39,10.0,0.8,61
-0.1660800577918241,8.933535,1.1817162,0.4224884,0.96685684,0.39,10.0,0.8,61
-0.17387795346786203,8.2696705,1.1531789,0.4209462,0.99028933,0.39,10.0,0.8,61
-0.15862668335132735,8.695229,1.1696464,0.4136801,0.99038553,0.39,10.0,0.8,61
-0.18338147823495776,8.302318,1.1838571,0.4081848,0.986879,0.39,10.0,0.8,61
-0.18366929555744574,8.842603,1.1705532,0.41705152,0.9971497,0.39,10.0,0.8,61
-0.21558442980386583,8.685609,1.1616585,0.42840075,0.9939189,0.39,10.0,0.8,61
-0.1994092214144118,8.459359,1.1829121,0.41625777,0.9437512,0.39,10.0,0.8,61
-0.21354384063088175,8.394881,1.1554301,0.43266943,0.9753009,0.39,10.0,0.8,61
-0.2044026847944777,8.095113,1.171012,0.43192518,0.9590728,0.39,10.0,0.8,61
-0.18018400403103785,8.473034,1.1759489,0.41399208,0.90474534,0.39,10.0,0.8,61
-0.19453390223709074,8.64998,1.1689533,0.42518952,0.99820745,0.39,10.0,0.8,61
-0.19633038266776406,8.729831,1.1799717,0.4154493,0.97510254,0.39,10.0,0.8,61
-0.20305184797718434,8.7777,1.1808618,0.40736178,0.99767125,0.39,10.0,0.8,61
-0.17339618690426298,8.673944,1.1667545,0.39386496,0.98654723,0.39,10.0,0.8,61
-0.20147831579069764,8.919654,1.1927798,0.43275365,0.940969,0.39,10.0,0.8,61
-0.17008002179915976,8.858903,1.1821272,0.41327125,0.9910109,0.39,10.0,0.8,61
-0.2102516454195903,9.226039,1.2136463,0.4089106,0.9887823,0.39,10.0,0.8,61
-0.19514117569859954,8.6125145,1.1791992,0.42591155,0.9966563,0.39,10.0,0.8,61
-0.21362066893641024,8.4364605,1.1615977,0.4161825,0.99661493,0.39,10.0,0.8,61
-0.19528014253569478,8.687224,1.1769217,0.43570006,0.9663273,0.39,10.0,0.8,61
-0.17742809164121426,8.631907,1.1805623,0.41078928,0.99218404,0.39,10.0,0.8,61
-0.18730838658499743,8.979085,1.1566454,0.42803323,0.9779718,0.39,10.0,0.8,61
-0.17687969511338608,8.604482,1.1889701,0.4031788,0.9278517,0.39,10.0,0.8,61
-0.19495750981441173,9.03775,1.1956198,0.41408932,0.97241986,0.39,10.0,0.8,61
-0.18103758006403367,8.685608,1.1762357,0.41694304,0.9556459,0.39,10.0,0.8,61
-0.14957211569851472,8.576351,1.1797183,0.41518706,0.9885689,0.39,10.0,0.8,61
-0.23126263246321507,8.781357,1.1832237,0.4298349,0.9741392,0.39,10.0,0.8,61
-0.174367268375877,8.577247,1.1907978,0.41508737,0.970785,0.39,10.0,0.8,61
-0.18545409874149818,8.786645,1.1802446,0.4347199,0.9977093,0.39,10.0,0.8,61
-0.21350470815246644,8.704899,1.1576391,0.41262537,0.9980345,0.39,10.0,0.8,61
-0.17467052605403482,8.5262785,1.1926339,0.42976725,0.9263433,0.39,10.0,0.8,61
-0.1856415622285591,8.716929,1.1776377,0.41909274,0.9903083,0.39,10.0,0.8,61
-0.23281793038701085,8.4813795,1.1621424,0.43450013,0.9909247,0.39,10.0,0.8,61
-0.2109550120496213,8.563264,1.1762288,0.4245309,0.9997115,0.39,10.0,0.8,61
-0.17900155940099774,8.55629,1.1880909,0.39598298,0.99318993,0.39,10.0,0.8,61
-0.18316623985218294,8.3445215,1.1737803,0.4119941,0.9880173,0.39,10.0,0.8,61
-0.183625634868411,8.819753,1.1646217,0.41976085,0.9754778,0.39,10.0,0.8,61
-0.18458445680788133,8.576768,1.1715623,0.41861853,0.9851165,0.39,10.0,0.8,61
-0.2015291102784195,8.795873,1.1806308,0.41147253,0.9939983,0.39,10.0,0.8,61
-0.19749895627813427,8.339487,1.1643777,0.41564432,0.957543,0.39,10.0,0.8,61
-0.17254604230273587,8.827031,1.1676657,0.42074803,0.986421,0.39,10.0,0.8,61
-0.20206592178149502,9.276476,1.1902015,0.41801664,0.9667752,0.39,10.0,0.8,61
-0.19120933550285096,8.479591,1.1732732,0.41172424,0.9952166,0.39,10.0,0.8,61
-0.23782893263085716,8.636174,1.1663538,0.43051088,0.98832166,0.39,10.0,0.8,61
-0.18560338854667718,8.77261,1.170283,0.418442,0.9968455,0.39,10.0,0.8,61
-0.17757788390927817,8.702241,1.173044,0.4106215,0.9939321,0.39,10.0,0.8,61
-0.2204572993852465,8.630941,1.1691706,0.42222875,0.9953325,0.39,10.0,0.8,61
-0.18786369161449656,8.420006,1.1627737,0.40960908,0.998019,0.39,10.0,0.8,61
