param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.043,0.036,-0.111,0.023,0.001,0.001,715.0,1119.0,1.01,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
v_coherence_signed,9.82,0.109,9.624,10.03,0.001,0.002,10090.0,2791.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
z,0.498,0.003,0.493,0.503,0.0,0.0,8356.0,2821.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
a_Intercept,-1.001,0.015,-1.029,-0.971,0.0,0.0,1055.0,1936.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
g_Intercept,4.745,0.632,3.626,5.927,0.009,0.012,6227.0,2541.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
v_1|seed_sigma,0.147,0.028,0.1,0.197,0.001,0.001,916.0,1859.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
a_1|seed_sigma,0.064,0.013,0.041,0.088,0.0,0.0,1036.0,1727.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
g_1|seed_sigma,0.254,0.174,0.007,0.565,0.002,0.003,4678.0,2256.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
v(0.15),1.227,0.024,1.182,1.272,0.001,0.0,845.0,1608.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
v(0),-0.043,0.035,-0.11,0.023,0.001,0.001,715.0,1119.0,1.01,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
v(-0.15),-1.28,0.023,-1.324,-1.238,0.001,0.0,858.0,1281.0,1.01,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
g_model,0.979,0.012,0.959,0.998,0.0,0.0,6227.0,2541.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
a_model,1.026,0.008,1.011,1.042,0.0,0.0,1055.0,1936.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
g_native,9.795,0.118,9.59,9.982,0.001,0.002,6227.0,2541.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
a_native,0.324,0.003,0.32,0.329,0.0,0.0,1055.0,1936.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
v_native(0.15),3.881,0.077,3.739,4.021,0.003,0.001,845.0,1608.0,1.0,1.0,10.0,1.5,0,20000,0.35,g1.0_k10_b1.5_pooled_hier_n20000
