param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.055,0.036,-0.093,0.021,0.008,0.006,26.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
v_coherence_signed,9.868,0.291,9.272,10.27,0.057,0.061,26.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
z,0.51,0.006,0.497,0.516,0.001,0.001,26.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
a_Intercept,-0.991,0.021,-1.02,-0.957,0.006,0.005,11.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
g_Intercept,3.254,0.527,2.547,4.107,0.181,0.057,8.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
v_1|seed_sigma,0.135,0.041,0.074,0.199,0.011,0.005,14.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
a_1|seed_sigma,0.085,0.025,0.051,0.136,0.007,0.003,12.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
g_1|seed_sigma,0.288,0.21,0.018,0.639,0.041,0.032,26.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
v(0.15),1.224,0.033,1.169,1.274,0.006,0.01,26.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
v(0),-0.055,0.036,-0.093,0.021,0.008,0.006,26.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
v(-0.15),-1.29,0.036,-1.341,-1.225,0.008,0.004,23.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
g_model,0.916,0.044,0.855,0.968,0.015,0.008,8.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
a_model,1.031,0.011,1.016,1.049,0.003,0.003,11.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
g_native,9.164,0.441,8.547,9.676,0.151,0.078,8.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
a_native,0.326,0.003,0.321,0.332,0.001,0.001,11.0,20.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
v_native(0.15),3.871,0.104,3.698,4.027,0.02,0.032,26.0,26.0,,1.0,10.0,1.5,0,2000,0.35,g1.0_k10_b1.5_pooled_hier_n2000_smoke
