param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.022,0.005,-0.032,-0.013,0.0,0.0,3257.0,2583.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
v_coherence_signed,8.108,0.053,8.012,8.212,0.001,0.001,2864.0,2376.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
a,1.094,0.002,1.09,1.097,0.0,0.0,3620.0,2852.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
z,0.494,0.002,0.49,0.497,0.0,0.0,2816.0,2481.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
g,0.995,0.005,0.985,1.0,0.0,0.0,2091.0,1492.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
v(0.15),1.194,0.009,1.177,1.212,0.0,0.0,3108.0,2551.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
v(0),-0.022,0.005,-0.032,-0.013,0.0,0.0,3257.0,2583.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
v(-0.15),-1.239,0.009,-1.256,-1.222,0.0,0.0,2812.0,2511.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
g_native,11.935,0.062,11.824,12.0,0.001,0.001,2091.0,1492.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
a_native,0.316,0.001,0.315,0.317,0.0,0.0,3620.0,2852.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
v_native(0.15),4.135,0.033,4.077,4.199,0.001,0.001,3108.0,2551.0,1.0,1.0,12.0,1.5,0,39881,0.36,g1.0_k12_b1.5_pooled
