param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.02,0.018,-0.052,0.015,0.0,0.0,3043.0,2537.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
v_coherence_signed,7.075,0.202,6.7,7.457,0.004,0.003,3029.0,2674.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
a,1.236,0.01,1.217,1.254,0.0,0.0,3243.0,2459.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
z,0.459,0.009,0.443,0.477,0.0,0.0,3367.0,2731.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
g,0.982,0.017,0.951,1.0,0.0,0.0,2424.0,1757.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
v(0.15),1.042,0.034,0.978,1.105,0.001,0.0,3176.0,2777.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
v(0),-0.02,0.018,-0.052,0.015,0.0,0.0,3043.0,2537.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
v(-0.15),-1.081,0.037,-1.149,-1.014,0.001,0.001,2922.0,2543.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
g_native,15.714,0.269,15.213,16.0,0.005,0.006,2424.0,1757.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
a_native,0.309,0.003,0.304,0.314,0.0,0.0,3243.0,2459.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
v_native(0.15),4.166,0.135,3.914,4.42,0.002,0.002,3176.0,2777.0,1.0,1.0,16.0,1.5,44,1990,0.444,g1.0_k16_b1.5_s44
