v_Intercept,v_coherence_signed,a,z,g,t,k,gain,seed_filter
-0.04357835775308913,8.482688,1.2375605,0.4963428,0.48372674,0.41,10.0,1.2,0
-0.049798696643781275,8.374703,1.2454424,0.49665412,0.45497215,0.41,10.0,1.2,0
-0.04259266812329472,8.486153,1.2504215,0.49753684,0.44308805,0.41,10.0,1.2,0
-0.048186251929815474,8.437161,1.2492903,0.49962392,0.45794368,0.41,10.0,1.2,0
-0.04454665082043591,8.423797,1.2292228,0.49670747,0.49020743,0.41,10.0,1.2,0
-0.036016182768689516,8.499663,1.2323864,0.49579304,0.50526595,0.41,10.0,1.2,0
-0.03493191471269521,8.460836,1.2446423,0.49548832,0.4444307,0.41,10.0,1.2,0
-0.044988885189180816,8.532306,1.2464185,0.49634245,0.47226214,0.41,10.0,1.2,0
-0.039199586402406686,8.498374,1.2474532,0.4943663,0.45462847,0.41,10.0,1.2,0
-0.042251144917122604,8.460866,1.2345034,0.49407685,0.5076791,0.41,10.0,1.2,0
-0.04819615027390205,8.439003,1.2507473,0.49694484,0.4288243,0.41,10.0,1.2,0
-0.039559490977613194,8.361726,1.2365263,0.4934177,0.4817599,0.41,10.0,1.2,0
-0.04767496966714767,8.337593,1.2282128,0.49991953,0.5004623,0.41,10.0,1.2,0
-0.0411781496750681,8.459526,1.2333137,0.49680722,0.4964583,0.41,10.0,1.2,0
-0.04877894201130227,8.379953,1.2342016,0.4995886,0.49188745,0.41,10.0,1.2,0
-0.04992844672977173,8.492039,1.2403526,0.49542195,0.4717244,0.41,10.0,1.2,0
-0.051947348064807185,8.507448,1.2403768,0.4977919,0.48082364,0.41,10.0,1.2,0
-0.04742282377869399,8.41657,1.2316642,0.4958641,0.4926157,0.41,10.0,1.2,0
-0.04432492985912744,8.360837,1.2395868,0.49545446,0.46556532,0.41,10.0,1.2,0
-0.04729618960791292,8.470216,1.2498827,0.49745142,0.43648934,0.41,10.0,1.2,0
-0.03946742984964019,8.522005,1.2310581,0.49621975,0.49481,0.41,10.0,1.2,0
-0.04240669481307158,8.469915,1.2335173,0.4961503,0.5033846,0.41,10.0,1.2,0
-0.04157276207469321,8.362603,1.2351899,0.4975617,0.4835074,0.41,10.0,1.2,0
-0.047481834110814254,8.477421,1.2474988,0.495315,0.44944823,0.41,10.0,1.2,0
-0.05028431393995914,8.483101,1.2241616,0.49888492,0.529451,0.41,10.0,1.2,0
-0.05130713212039402,8.442829,1.2462072,0.4985813,0.46221352,0.41,10.0,1.2,0
-0.029431791408049607,8.4484005,1.2392845,0.4932178,0.48228765,0.41,10.0,1.2,0
-0.04960088262034841,8.442045,1.2389386,0.49815345,0.47553992,0.41,10.0,1.2,0
-0.039329242534863675,8.531528,1.2473415,0.49634984,0.4590925,0.41,10.0,1.2,0
-0.06067971759058088,8.518348,1.2429843,0.50101644,0.45742,0.41,10.0,1.2,0
-0.046899229448048425,8.463756,1.243638,0.49667245,0.47634494,0.41,10.0,1.2,0
-0.03230941404847413,8.492394,1.2356187,0.49274576,0.49631798,0.41,10.0,1.2,0
-0.04573212238662414,8.414999,1.2372946,0.4996605,0.47299397,0.41,10.0,1.2,0
-0.051316782081454126,8.356183,1.238518,0.4999905,0.4714681,0.41,10.0,1.2,0
-0.03929424064613608,8.434921,1.237225,0.49549296,0.48069477,0.41,10.0,1.2,0
-0.038584966131101454,8.45234,1.2336681,0.4966756,0.4803126,0.41,10.0,1.2,0
-0.03749817256135707,8.404592,1.256161,0.49521938,0.4193858,0.41,10.0,1.2,0
-0.039994791110769035,8.399985,1.2478359,0.49447715,0.4574517,0.41,10.0,1.2,0
-0.04446639383342904,8.509227,1.2433677,0.49569377,0.4817865,0.41,10.0,1.2,0
-0.044901538545595795,8.445531,1.2292398,0.49716055,0.50872314,0.41,10.0,1.2,0
-0.049398543435260046,8.43628,1.2307528,0.49834475,0.5221008,0.41,10.0,1.2,0
-0.049209907256381615,8.468367,1.2498692,0.49581283,0.44599187,0.41,10.0,1.2,0
-0.042397945282457494,8.440574,1.2442719,0.49862194,0.4620986,0.41,10.0,1.2,0
-0.04769835068262268,8.449078,1.23188,0.4975773,0.50145423,0.41,10.0,1.2,0
-0.04290654017538208,8.462093,1.2565289,0.49921575,0.42300463,0.41,10.0,1.2,0
-0.04098637560546796,8.423844,1.2325727,0.49691752,0.48387182,0.41,10.0,1.2,0
-0.0482676027862119,8.415511,1.2393804,0.49776137,0.46569335,0.41,10.0,1.2,0
-0.04460430231688198,8.4460335,1.2438543,0.49761382,0.46762288,0.41,10.0,1.2,0
-0.038898831536100034,8.416487,1.228281,0.49633756,0.5166552,0.41,10.0,1.2,0
-0.04387028354817271,8.457547,1.2476707,0.49515024,0.4511565,0.41,10.0,1.2,0
-0.03469152214263792,8.43494,1.2350364,0.49510327,0.49493122,0.41,10.0,1.2,0
-0.04880606194617043,8.410474,1.2494385,0.4969653,0.43816972,0.41,10.0,1.2,0
-0.046390856194266396,8.416517,1.2442096,0.49440622,0.46825552,0.41,10.0,1.2,0
-0.05500546642371334,8.419722,1.2276447,0.49831688,0.5202421,0.41,10.0,1.2,0
-0.04110353303185386,8.463306,1.2459288,0.49472597,0.4531423,0.41,10.0,1.2,0
-0.046876823371918314,8.38582,1.2326962,0.49760392,0.4964503,0.41,10.0,1.2,0
-0.04801395086998229,8.502865,1.2388644,0.49910918,0.49449372,0.41,10.0,1.2,0
-0.0433625367856008,8.425136,1.2535506,0.49383423,0.42489183,0.41,10.0,1.2,0
-0.04951545943853323,8.604774,1.2448983,0.49874195,0.46489048,0.41,10.0,1.2,0
-0.04608897204572311,8.366991,1.2444601,0.4953365,0.45761454,0.41,10.0,1.2,0
-0.05526420252688997,8.447332,1.2389408,0.5007084,0.47781515,0.41,10.0,1.2,0
-0.038537817771917275,8.448089,1.2396039,0.49384332,0.4610244,0.41,10.0,1.2,0
-0.05002999674222308,8.5184765,1.2411408,0.49822927,0.4704697,0.41,10.0,1.2,0
-0.035618124683315086,8.339883,1.2448858,0.4968794,0.45108724,0.41,10.0,1.2,0
-0.048755450649911866,8.447454,1.2426833,0.49578977,0.4628098,0.41,10.0,1.2,0
