gain,k,n,t_fixed,omission_frac,g_mean,g_hdi3,g_hdi97,g_nat_mean,g_nat_hdi3,g_nat_hdi97,a_mean,a_nat_mean,v_Intercept_mean,v_coherence_signed_mean,v0p15_mean,z_mean,r_hat_max,ess_bulk_min,divergences,edge_g,edge_a,edge_v0p15,minutes
0.8,8.0,38640,0.34,0.03400000000000003,0.998,0.995,1.0,7.986,7.961,8.0,1.109,0.392,-0.032,9.026,1.322,0.496,1.0,2094.0,0,1.0,0.0,0.0,32.658242015043896
1.0,8.0,39881,0.34,0.00297499999999995,0.996,0.989,1.0,7.97,7.913,8.0,0.939,0.332,-0.031,9.707,1.426,0.496,1.0,2311.0,0,0.9955,0.0,0.0,33.84937097231547
1.2,8.0,39988,0.332,0.00029999999999996696,0.948,0.905,0.996,7.588,7.241,7.965,0.838,0.296,-0.027,9.774,1.439,0.497,1.0,1898.0,0,0.10925,0.0,0.0,40.70785349607468
0.8,10.0,38640,0.35,0.03400000000000003,0.998,0.994,1.0,9.98,9.944,10.0,1.201,0.38,-0.027,8.236,1.209,0.495,1.0,2497.0,0,1.0,0.0,0.0,31.28975175221761
1.0,10.0,39881,0.35,0.00297499999999995,0.996,0.988,1.0,9.957,9.88,10.0,1.023,0.323,-0.026,8.789,1.292,0.495,1.0,2474.0,0,0.99075,0.0,0.0,30.88197113275528
1.2,10.0,39988,0.34,0.00029999999999996696,0.921,0.872,0.968,9.206,8.72,9.681,0.92,0.291,-0.023,8.805,1.298,0.496,1.0,1815.0,0,0.01,0.0,0.0,48.383484590053556
0.8,12.0,38640,0.36,0.03400000000000003,0.998,0.995,1.0,11.977,11.936,12.0,1.28,0.369,-0.023,7.678,1.129,0.494,1.0,2370.0,0,1.0,0.0,0.0,23.509967490037283
1.0,12.0,39881,0.36,0.00297499999999995,0.995,0.985,1.0,11.935,11.824,12.0,1.094,0.316,-0.022,8.108,1.194,0.494,1.0,2091.0,0,0.9795,0.0,0.0,40.91351129213969
1.2,12.0,39988,0.348,0.00029999999999996696,0.89,0.842,0.935,10.679,10.101,11.222,0.992,0.286,-0.02,8.085,1.193,0.495,1.0,2251.0,0,0.0,0.0,0.0,40.650127506256105
0.8,16.0,38640,0.38,0.03400000000000003,0.999,0.996,1.0,15.979,15.94,16.0,1.411,0.353,-0.018,6.908,1.018,0.491,1.0,2228.0,0,1.0,0.0,0.0,30.97324809630712
1.0,16.0,39881,0.38,0.00297499999999995,0.992,0.98,1.0,15.88,15.673,16.0,1.21,0.303,-0.018,7.177,1.059,0.492,1.0,1705.0,0,0.9355,0.0,0.0,31.44643363157908
1.2,16.0,39988,0.364,0.00029999999999996696,0.808,0.763,0.855,12.932,12.201,13.681,1.12,0.28,-0.015,7.051,1.042,0.493,1.0,1945.0,0,0.0,0.0,0.0,43.18661371072133
0.8,20.0,38640,0.4,0.03400000000000003,0.999,0.998,1.0,19.986,19.962,20.0,1.519,0.34,-0.016,6.359,0.938,0.488,1.0,2722.0,0,1.0,0.0,0.0,26.906684136390687
1.0,20.0,39881,0.4,0.00297499999999995,0.994,0.985,1.0,19.888,19.69,20.0,1.305,0.292,-0.014,6.565,0.971,0.491,1.0,1731.0,0,0.973,0.0,0.0,34.317102348804475
1.2,20.0,39988,0.38,0.00029999999999996696,0.701,0.651,0.748,14.02,13.013,14.951,1.242,0.278,-0.014,6.343,0.937,0.494,1.0,1661.0,0,0.0,0.0,0.0,43.76042956908544
0.8,24.0,38640,0.42,0.03400000000000003,1.0,0.999,1.0,23.991,23.976,24.0,1.616,0.33,-0.015,5.938,0.875,0.484,1.0,2408.0,0,1.0,0.0,0.0,25.49764103492101
1.0,24.0,39881,0.42,0.00297499999999995,0.998,0.994,1.0,23.948,23.856,24.0,1.388,0.283,-0.012,6.115,0.905,0.49,1.0,2616.0,0,1.0,0.0,0.0,29.14606724580129
1.2,24.0,39988,0.396,0.00029999999999996696,0.611,0.563,0.659,14.675,13.518,15.805,1.357,0.277,-0.014,5.826,0.86,0.494,1.0,1807.0,0,0.0,0.0,0.0,54.57763172785441
