gain,variant,which,v0_nat,v1_nat,g_nat,a_nat,x0_nat,sigma,evidence_var_frac,t_nat,slope_net,slope_sim,acc_net,acc_sim,frac_bounded,n_trials,wnet0,wnet1,wnet2,wnet3,wnet4,wnet5,wnet6,wnet7,wsim0,wsim1,wsim2,wsim3,wsim4,wsim5,wsim6,wsim7,slope_sim_sd,slope_sim_lo,slope_sim_hi
0.8,a_fitted_sigma1,posterior_mean,-0.08418633107029219,26.051477484147764,9.9800085795,0.3797536834371645,-0.003854374890962343,1.0,0.678679479107058,0.004999999999999999,0.0391732580670018,-0.061839490021573615,0.865875,0.7451,0.999025,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.5390802716700946,0.2439605743512326,0.08709353623641278,0.06062450130333347,0.020054841790314495,0.024155718731137775,-0.012248597088366855,0.012781958443616645,,,
0.8,a_fitted_sigma1,draws_mean(n=20),,,,,,,,,0.0391732580670018,-0.061884178511681084,0.865875,0.7451475,0.99902125,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.5382298215184738,0.24437031949417382,0.08807775957007725,0.060998063500555845,0.02032660318099684,0.024290550915827294,-0.011893810886144753,0.011813070547429107,0.00015698975763109708,-0.062177258623060075,-0.061659541291187135
0.8,a_fitted_matched,posterior_mean,-0.08418633107029219,26.051477484147764,9.9800085795,0.3797536834371645,-0.003854374890962343,0.5668514098888191,0.678679479107058,0.004999999999999999,0.0391732580670018,-0.04081936466910851,0.865875,0.8387,0.97595,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.324262007728883,0.23745773517103083,0.14746006980794724,0.11576899559841489,0.06587150831881183,0.04866558663797116,0.02451082060979403,0.03600327592753981,,,
0.8,a_fitted_matched,draws_mean(n=20),,,,,,,,,0.0391732580670018,-0.04079994452081236,0.865875,0.8384349999999999,0.9761050000000001,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.3242295873119386,0.23801653174444196,0.14709022336474603,0.11458726406174362,0.06604786989338299,0.04958233646897163,0.024782911834037153,0.03566327512043395,0.0003590465882276584,-0.04138463546963841,-0.04023575855097225
0.8,b_leakonly_sigma1,posterior_mean,-0.08418633107029219,26.051477484147764,9.9800085795,,-0.003854374890962343,1.0,0.678679479107058,0.004999999999999999,0.0391732580670018,0.06836130980853158,0.865875,0.755775,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.005143606473400923,0.0008613120660788103,0.0051964904433276626,0.009646558940030168,0.03545774693044106,0.0932705705348495,0.23016879921206954,0.6202549150336473,,,
0.8,b_leakonly_sigma1,draws_mean(n=20),,,,,,,,,0.0391732580670018,0.0683520664755721,0.865875,0.75576875,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.005420681907465487,0.0011421523779120495,0.004947270283451242,0.009366700786146607,0.03513839837473422,0.09329998905280674,0.23019719133255104,0.6204876155186382,7.575913322270464e-05,0.06822017854322222,0.06848089728217276
0.8,b_leakonly_matched,posterior_mean,-0.08418633107029219,26.051477484147764,9.9800085795,,-0.003854374890962343,0.5668514098888191,0.678679479107058,0.004999999999999999,0.0391732580670018,0.06747887028019164,0.865875,0.80425,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.009966947168261164,-0.0030316745742579184,0.005146493118656881,0.01556645269506988,0.030223212013382305,0.09154539451918448,0.23132844128243016,0.6131913844157989,,,
0.8,b_leakonly_matched,draws_mean(n=20),,,,,,,,,0.0391732580670018,0.06748171069142203,0.865875,0.8040762500000002,0.0,40000,0.0339285101336479,0.03963192244671703,0.055234811181071014,0.07297761277839367,0.09976369490310034,0.14688802616593044,0.21828041106000948,0.3332950112025629,0.009920230771320551,-0.0031834430143801947,0.005611916971224784,0.015146278319407902,0.030453507490437515,0.09093025964872645,0.23127735189742396,0.6134770116737347,0.0001305054080967815,0.06724776610571485,0.06770987075633257
1.0,a_fitted_sigma1,posterior_mean,-0.08391011448718777,27.783070208111297,9.95736153225,0.32343184641336675,-0.0033006095566938958,1.0,0.7718989901888414,0.004999999999999999,0.002138929304013984,-0.07215021840744361,0.887275,0.711875,1.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.7134920889354223,0.19679789112667118,0.03367487829292452,0.01980979123106366,0.007967421315561768,0.015856589716794618,-0.008641367070393901,0.0037599718502720468,,,
1.0,a_fitted_sigma1,draws_mean(n=20),,,,,,,,,0.002138929304013984,-0.07211280032884326,0.887275,0.7117,1.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.7125598744865631,0.19745325785108853,0.033948688818175324,0.019453654301536998,0.006933368724444619,0.016869359976173698,-0.00900034271009176,0.0037814526703003606,0.00015026334053985592,-0.07232821281622494,-0.07186658514676907
