gain,variant,draw,g_nat,a_nat,v1_nat,slope_sim,acc_sim,frac_bounded
0.8,a_fitted_sigma1,draw0,6.9965136,0.5149023504511938,25.06102104765217,-0.04009343805922451,0.798525,0.9725
0.8,a_fitted_sigma1,draw1,6.859932,0.5151177648054045,24.74345880046274,-0.03979350468180963,0.7979,0.971775
0.8,a_fitted_sigma1,draw2,6.0769165,0.5265514224046156,24.509011645698813,-0.03923730567683174,0.7991,0.970225
0.8,a_fitted_sigma1,draw3,7.191174,0.5115562495906398,25.138542070896836,-0.04041901973146322,0.797925,0.97305
0.8,a_fitted_sigma1,draw4,6.880492,0.5154095165423316,24.594970890651872,-0.03943993339396295,0.7981,0.9709
0.8,a_fitted_matched,draw0,6.9965136,0.5149023504511938,25.06102104765217,-0.010787993952753287,0.862125,0.8723
0.8,a_fitted_matched,draw1,6.859932,0.5151177648054045,24.74345880046274,-0.011205837215336578,0.860125,0.87415
0.8,a_fitted_matched,draw2,6.0769165,0.5265514224046156,24.509011645698813,-0.012735202460139585,0.860125,0.879625
0.8,a_fitted_matched,draw3,7.191174,0.5115562495906398,25.138542070896836,-0.010405232865073971,0.862225,0.872175
0.8,a_fitted_matched,draw4,6.880492,0.5154095165423316,24.594970890651872,-0.010915401689574042,0.859675,0.872775
0.8,b_leakonly_sigma1,draw0,6.9965136,,25.06102104765217,0.05810811502332,0.782125,0.0
0.8,b_leakonly_sigma1,draw1,6.859932,,24.74345880046274,0.05762682679337143,0.78205,0.0
0.8,b_leakonly_sigma1,draw2,6.0769165,,24.509011645698813,0.0543622063520743,0.790675,0.0
0.8,b_leakonly_sigma1,draw3,7.191174,,25.138542070896836,0.05915962835622265,0.77955,0.0
0.8,b_leakonly_sigma1,draw4,6.880492,,24.594970890651872,0.05783769086691169,0.781525,0.0
0.8,b_leakonly_matched,draw0,6.9965136,,25.06102104765217,0.05832814716254721,0.82475,0.0
0.8,b_leakonly_matched,draw1,6.859932,,24.74345880046274,0.057718179173776606,0.82405,0.0
0.8,b_leakonly_matched,draw2,6.0769165,,24.509011645698813,0.05466679596028958,0.831125,0.0
0.8,b_leakonly_matched,draw3,7.191174,,25.138542070896836,0.05911943410415031,0.8233,0.0
0.8,b_leakonly_matched,draw4,6.880492,,24.594970890651872,0.058189304266720525,0.822675,0.0
1.0,a_fitted_sigma1,draw0,5.709435000000001,0.44596792298273646,27.080585325780717,-0.05901023488527202,0.766725,0.997125
1.0,a_fitted_sigma1,draw1,5.6090295,0.4482145947691797,26.85649684394821,-0.0587418181220588,0.767275,0.996875
1.0,a_fitted_sigma1,draw2,5.946536999999999,0.4427861973149581,26.825044830340175,-0.05881557794183461,0.76565,0.997125
1.0,a_fitted_sigma1,draw3,5.8308744,0.441677818995069,26.568795984703748,-0.05879326963649903,0.765225,0.997125
1.0,a_fitted_sigma1,draw4,5.6083155,0.4456345240490249,26.55136234796324,-0.05854257021848174,0.7657,0.996825
1.0,a_fitted_matched,draw0,5.709435000000001,0.44596792298273646,27.080585325780717,-0.035316253524189774,0.85635,0.966075
1.0,a_fitted_matched,draw1,5.6090295,0.4482145947691797,26.85649684394821,-0.034964355578031035,0.85595,0.96525
1.0,a_fitted_matched,draw2,5.946536999999999,0.4427861973149581,26.825044830340175,-0.03522390485092401,0.854625,0.96535
1.0,a_fitted_matched,draw3,5.8308744,0.441677818995069,26.568795984703748,-0.03555480698729104,0.85315,0.967025
1.0,a_fitted_matched,draw4,5.6083155,0.4456345240490249,26.55136234796324,-0.03563599238498623,0.8534,0.96645
1.0,b_leakonly_sigma1,draw0,5.709435000000001,,27.080585325780717,0.05272262873288602,0.80515,0.0
1.0,b_leakonly_sigma1,draw1,5.6090295,,26.85649684394821,0.0522163100334908,0.80585,0.0
1.0,b_leakonly_sigma1,draw2,5.946536999999999,,26.825044830340175,0.054034365226364706,0.8011,0.0
1.0,b_leakonly_sigma1,draw3,5.8308744,,26.568795984703748,0.05322762543059194,0.801875,0.0
1.0,b_leakonly_sigma1,draw4,5.6083155,,26.55136234796324,0.05218825711479042,0.804375,0.0
1.0,b_leakonly_matched,draw0,5.709435000000001,,27.080585325780717,0.05258694303928323,0.8516,0.0
1.0,b_leakonly_matched,draw1,5.6090295,,26.85649684394821,0.05218317478477057,0.851225,0.0
1.0,b_leakonly_matched,draw2,5.946536999999999,,26.825044830340175,0.05383283740605143,0.847825,0.0
1.0,b_leakonly_matched,draw3,5.8308744,,26.568795984703748,0.05332028672714902,0.8476,0.0
1.0,b_leakonly_matched,draw4,5.6083155,,26.55136234796324,0.05234962875445482,0.84965,0.0
1.2,a_fitted_sigma1,draw0,4.8372674,0.391350992225681,26.82461476057839,-0.06703230026842946,0.737,0.999825
1.2,a_fitted_sigma1,draw1,4.7860527,0.3909354056955816,26.732201939376463,-0.06696598728142833,0.736675,0.999775
1.2,a_fitted_sigma1,draw2,4.5614076,0.39325616964760257,26.856000366355563,-0.06715868586639273,0.737325,0.999825
1.2,a_fitted_sigma1,draw3,4.8122048,0.39107792954972537,26.359633453427236,-0.06641545643751487,0.736875,0.9997
1.2,a_fitted_sigma1,draw4,4.4952118,0.39522092438064177,27.006625975864704,-0.06704876541946721,0.737675,0.999825
1.2,a_fitted_matched,draw0,4.8372674,0.391350992225681,26.82461476057839,-0.051514926048829325,0.83125,0.991625
1.2,a_fitted_matched,draw1,4.7860527,0.3909354056955816,26.732201939376463,-0.05176665945151386,0.830325,0.991775
1.2,a_fitted_matched,draw2,4.5614076,0.39325616964760257,26.856000366355563,-0.05181570743938985,0.8309,0.9918
1.2,a_fitted_matched,draw3,4.8122048,0.39107792954972537,26.359633453427236,-0.05133578575740572,0.828475,0.99155
1.2,a_fitted_matched,draw4,4.4952118,0.39522092438064177,27.006625975864704,-0.05138876754082987,0.83265,0.9917
1.2,b_leakonly_sigma1,draw0,4.8372674,,26.82461476057839,0.047295984814760175,0.81635,0.0
1.2,b_leakonly_sigma1,draw1,4.7860527,,26.732201939376463,0.04683806850382523,0.8168,0.0
1.2,b_leakonly_sigma1,draw2,4.5614076,,26.856000366355563,0.0453454803500201,0.81965,0.0
1.2,b_leakonly_sigma1,draw3,4.8122048,,26.359633453427236,0.04709192876299389,0.815,0.0
1.2,b_leakonly_sigma1,draw4,4.4952118,,27.006625975864704,0.04500328056436404,0.82145,0.0
1.2,b_leakonly_matched,draw0,4.8372674,,26.82461476057839,0.047131709568704015,0.85865,0.0
1.2,b_leakonly_matched,draw1,4.7860527,,26.732201939376463,0.04667310887463322,0.85905,0.0
1.2,b_leakonly_matched,draw2,4.5614076,,26.856000366355563,0.0453805284896847,0.86185,0.0
1.2,b_leakonly_matched,draw3,4.8122048,,26.359633453427236,0.047120777410144414,0.856375,0.0
1.2,b_leakonly_matched,draw4,4.4952118,,27.006625975864704,0.04515491835072403,0.8636,0.0
