gain,variant,draw,g_nat,a_nat,v1_nat,slope_sim,acc_sim,frac_bounded
0.8,a_fitted_sigma1,draw0,9.810351,0.3825066708201688,26.90443697327636,-0.06363785561802994,0.72875,0.998975
0.8,a_fitted_sigma1,draw1,9.909234999999999,0.3765476431745709,25.849226027687756,-0.06197687969617619,0.7443,0.9991
0.8,a_fitted_sigma1,draw2,9.817245,0.3966947987524931,26.67739808638691,-0.0599473351222853,0.7541,0.9985
0.8,a_fitted_sigma1,draw3,9.9519813,0.3823083643880996,24.20878500464243,-0.05878971712996412,0.74665,0.9982
0.8,a_fitted_sigma1,draw4,9.738103,0.3685918269232363,25.780278887863105,-0.06317192103691044,0.73815,0.999425
0.8,a_fitted_sigma1,draw5,9.813411,0.3662055722008732,25.387482892860607,-0.06276710527378615,0.7388,0.99945
0.8,a_fitted_sigma1,draw6,9.9953735,0.362185621593714,26.681831599666467,-0.0668731716944936,0.722325,0.999525
0.8,a_fitted_sigma1,draw7,9.8712325,0.38620501778928895,27.685468958895388,-0.0625994859997151,0.749825,0.9992
0.8,a_fitted_sigma1,draw8,9.496652,0.3599147267603939,25.670484607502058,-0.0651239514363291,0.729525,0.999625
0.8,a_fitted_sigma1,draw9,9.996463,0.4003462807666895,26.63188500516294,-0.06047915645072859,0.7399,0.99755
0.8,a_fitted_sigma1,draw10,9.612684,0.3891416353156277,25.0487106169489,-0.0607809278312279,0.740075,0.997875
0.8,a_fitted_sigma1,draw11,9.9952185,0.36707089785980174,26.152570674517065,-0.06396548373582307,0.7385,0.9994
0.8,a_fitted_sigma1,draw12,9.9716115,0.3622803950551892,26.419163330379902,-0.06346908017653843,0.739,0.99955
0.8,a_fitted_sigma1,draw13,9.747710000000001,0.3879990727742323,26.674438194496993,-0.061282464694770625,0.752625,0.99895
0.8,a_fitted_sigma1,draw14,9.9797785,0.36891833209164865,29.917113601897498,-0.06821125475488928,0.7369,0.9999
0.8,a_fitted_sigma1,draw15,9.822073,0.3932771671712661,25.256052308748693,-0.05922615898197975,0.753775,0.998075
0.8,a_fitted_sigma1,draw16,9.962536,0.3798553539843304,26.410141352215444,-0.06222649976238655,0.743175,0.99915
0.8,a_fitted_sigma1,draw17,9.552814,0.3979440565421426,28.377954007752038,-0.06279101679229707,0.7389,0.998775
0.8,a_fitted_sigma1,draw18,9.835619,0.3607868513162917,25.731273070963475,-0.0647461773321158,0.734775,0.999475
0.8,a_fitted_sigma1,draw19,9.563514,0.37704032603402515,27.170322860082152,-0.06406856278027272,0.742,0.999475
0.8,a_fitted_matched,draw0,9.810351,0.3825066708201688,26.90443697327636,-0.03876776289066206,0.814475,0.97435
0.8,a_fitted_matched,draw1,9.909234999999999,0.3765476431745709,25.849226027687756,-0.042043088254752184,0.8368,0.979175
0.8,a_fitted_matched,draw2,9.817245,0.3966947987524931,26.67739808638691,-0.034838960924427155,0.8486,0.966375
0.8,a_fitted_matched,draw3,9.9519813,0.3823083643880996,24.20878500464243,-0.039988001852895264,0.828275,0.9729
0.8,a_fitted_matched,draw4,9.738103,0.3685918269232363,25.780278887863105,-0.044902427876311296,0.8309,0.984025
0.8,a_fitted_matched,draw5,9.813411,0.3662055722008732,25.387482892860607,-0.04539392332938707,0.82865,0.9849
0.8,a_fitted_matched,draw6,9.9953735,0.362185621593714,26.681831599666467,-0.04575037186350761,0.813025,0.98425
0.8,a_fitted_matched,draw7,9.8712325,0.38620501778928895,27.685468958895388,-0.038497553826578226,0.8507,0.97605
0.8,a_fitted_matched,draw8,9.496652,0.3599147267603939,25.670484607502058,-0.04750393752945922,0.821225,0.987425
0.8,a_fitted_matched,draw9,9.996463,0.4003462807666895,26.63188500516294,-0.033584003786593424,0.82415,0.960025
0.8,a_fitted_matched,draw10,9.612684,0.3891416353156277,25.0487106169489,-0.0388950518896066,0.820275,0.970425
0.8,a_fitted_matched,draw11,9.9952185,0.36707089785980174,26.152570674517065,-0.044158200499069516,0.83325,0.983525
0.8,a_fitted_matched,draw12,9.9716115,0.3622803950551892,26.419163330379902,-0.04655462751376809,0.8328,0.986825
0.8,a_fitted_matched,draw13,9.747710000000001,0.3879990727742323,26.674438194496993,-0.03891353168136072,0.844975,0.974525
0.8,a_fitted_matched,draw14,9.9797785,0.36891833209164865,29.917113601897498,-0.043917104592602355,0.84845,0.98405
0.8,a_fitted_matched,draw15,9.822073,0.3932771671712661,25.256052308748693,-0.03664263695571311,0.8406,0.9666
0.8,a_fitted_matched,draw16,9.962536,0.3798553539843304,26.410141352215444,-0.0409679661254142,0.83725,0.976275
0.8,a_fitted_matched,draw17,9.552814,0.3979440565421426,28.377954007752038,-0.036605382882262144,0.84155,0.968
0.8,a_fitted_matched,draw18,9.835619,0.3607868513162917,25.731273070963475,-0.047256740866831175,0.82825,0.9868
0.8,a_fitted_matched,draw19,9.563514,0.37704032603402515,27.170322860082152,-0.043830116113415814,0.83925,0.982475
0.8,b_leakonly_sigma1,draw0,9.810351,,26.90443697327636,0.06854808578024625,0.751525,0.0
0.8,b_leakonly_sigma1,draw1,9.909234999999999,,25.849226027687756,0.06717213529863497,0.75755,0.0
0.8,b_leakonly_sigma1,draw2,9.817245,,26.67739808638691,0.06759774115955407,0.76025,0.0
0.8,b_leakonly_sigma1,draw3,9.9519813,,24.20878500464243,0.06862441416011357,0.7477,0.0
0.8,b_leakonly_sigma1,draw4,9.738103,,25.780278887863105,0.06714277755582095,0.75875,0.0
0.8,b_leakonly_sigma1,draw5,9.813411,,25.387482892860607,0.0667244667272549,0.75795,0.0
0.8,b_leakonly_sigma1,draw6,9.9953735,,26.681831599666467,0.06833868968352527,0.75255,0.0
0.8,b_leakonly_sigma1,draw7,9.8712325,,27.685468958895388,0.06733828079960741,0.76535,0.0
0.8,b_leakonly_sigma1,draw8,9.496652,,25.670484607502058,0.06723611884731358,0.7567,0.0
0.8,b_leakonly_sigma1,draw9,9.996463,,26.63188500516294,0.06896774345611467,0.750125,0.0
0.8,b_leakonly_sigma1,draw10,9.612684,,25.0487106169489,0.06718342896773902,0.750175,0.0
0.8,b_leakonly_sigma1,draw11,9.9952185,,26.152570674517065,0.0673291982193467,0.75825,0.0
0.8,b_leakonly_sigma1,draw12,9.9716115,,26.419163330379902,0.06696369147661466,0.76015,0.0
0.8,b_leakonly_sigma1,draw13,9.747710000000001,,26.674438194496993,0.06700926857184618,0.762875,0.0
0.8,b_leakonly_sigma1,draw14,9.9797785,,29.917113601897498,0.06839379521976671,0.765925,0.0
0.8,b_leakonly_sigma1,draw15,9.822073,,25.256052308748693,0.06772783646274164,0.75465,0.0
