gain,k,n,g_mean,g_native_mean,g_native_hdi3,g_native_hdi97,a_mean,a_native_mean,v0p15_mean,v_native_at_0.15,v_native_at_0,v_native_per_unit_coherence,z_mean,t_fixed,t_native_ms,edge_g,r_hat_max,ess_bulk_min,divergences,omission_frac
0.8,8.0,38640,0.998,7.984,7.96,8.0,1.109,0.39209071016794056,1.322,3.7391806589144636,-0.0905096679918781,25.529383227959112,0.496,0.34,5.000000000000004,1.0,1.0,2094.0,0,0.03400000000000003
1.0,8.0,39881,0.996,7.968,7.912,8.0,0.939,0.33198663376708404,1.426,4.033337079888067,-0.0876812408671319,27.45554209991127,0.496,0.34,5.000000000000004,0.9955,1.0,2311.0,0,0.00297499999999995
1.2,8.0,39988,0.948,7.584,7.24,7.968,0.838,0.2962777413171634,1.439,4.070106632509768,-0.07636753236814714,27.64504671726926,0.497,0.332,4.0000000000000036,0.10925,1.0,1898.0,0,0.00029999999999996696
0.8,10.0,38640,0.998,9.98,9.94,10.0,1.201,0.37978954698622236,1.209,3.823193691143571,-0.08538149682454625,26.044518809146776,0.495,0.35,4.999999999999999,1.0,1.0,2497.0,0,0.03400000000000003
1.0,10.0,39881,0.996,9.96,9.879999999999999,10.0,1.023,0.32350100463522513,1.292,4.085662736937547,-0.08221921916437787,27.793258355219887,0.495,0.35,4.999999999999999,0.99075,1.0,2474.0,0,0.00297499999999995
1.2,10.0,39988,0.921,9.21,8.72,9.68,0.92,0.2909295447354909,1.298,4.1046364028985565,-0.07273238618387273,27.84385479778258,0.496,0.34,4.0000000000000036,0.01,1.0,1815.0,0,0.00029999999999996696
0.8,12.0,38640,0.998,11.975999999999999,11.94,12.0,1.28,0.3695041722813605,1.129,3.9109707234905247,-0.07967433714816835,26.597372201027678,0.494,0.36,5.0,1.0,1.0,2370.0,0,0.03400000000000003
1.0,12.0,39881,0.995,11.94,11.82,12.0,1.094,0.31581059724672533,1.194,4.1361373284744785,-0.07621023553303059,28.086935895536914,0.494,0.36,5.0,0.9795,1.0,2091.0,0,0.00297499999999995
1.2,12.0,39988,0.89,10.68,10.104,11.22,0.992,0.2863657335180544,1.193,4.132673226859342,-0.06928203230275509,28.00726155838875,0.495,0.348,3.999999999999999,0.0,1.0,2251.0,0,0.00029999999999996696
0.8,16.0,38640,0.999,15.984,15.936,16.0,1.411,0.35275,1.018,4.072,-0.072,27.632,0.491,0.38,5.000000000000001,1.0,1.0,2228.0,0,0.03400000000000003
1.0,16.0,39881,0.992,15.872,15.68,16.0,1.21,0.3025,1.059,4.236,-0.072,28.708,0.492,0.38,5.000000000000001,0.9355,1.0,1705.0,0,0.00297499999999995
1.2,16.0,39988,0.808,12.928,12.208,13.68,1.12,0.28,1.042,4.168,-0.06,28.204,0.493,0.364,4.0,0.0,1.0,1945.0,0,0.00029999999999996696
