v_Intercept,v_coherence_signed,a,z,g,t,k,gain,seed_filter
0.1149004244709014,9.039915,0.9021182,0.5568648,0.9994601,0.38,10.0,1.2,42
0.1285635441207885,9.1247635,0.9129698,0.5515186,0.97138786,0.38,10.0,1.2,42
0.0626158865594863,8.816207,0.91835845,0.5550974,0.91121554,0.38,10.0,1.2,42
0.0952177554750442,9.0577345,0.90303254,0.5462103,0.99144244,0.38,10.0,1.2,42
0.0577071569824218,9.426697,0.9264124,0.55159193,0.8988224,0.38,10.0,1.2,42
0.089261635389328,8.989199,0.9060302,0.56514305,0.96741223,0.38,10.0,1.2,42
0.0942496723651886,8.610334,0.9057983,0.56009954,0.9199016,0.38,10.0,1.2,42
0.0698659470319748,8.484082,0.90141183,0.5539758,0.97874725,0.38,10.0,1.2,42
0.0546320179748535,9.160095,0.916492,0.5602292,0.9927553,0.38,10.0,1.2,42
0.119298639588356,9.057609,0.90584785,0.5358704,0.9866946,0.38,10.0,1.2,42
0.1088284640359878,9.033042,0.89233947,0.5529491,0.9914186,0.38,10.0,1.2,42
0.0573340659618377,9.351168,0.9189774,0.5694113,0.9889718,0.38,10.0,1.2,42
0.0968011479187011,9.109665,0.9135658,0.5436592,0.96778023,0.38,10.0,1.2,42
0.1385799283742904,8.860345,0.8954428,0.55320525,0.99639916,0.38,10.0,1.2,42
0.0947142103958129,9.441429,0.9216076,0.55054814,0.94123936,0.38,10.0,1.2,42
0.0661806424903869,9.164959,0.9104646,0.5502904,0.9851191,0.38,10.0,1.2,42
0.083044702720642,8.952751,0.9075506,0.5671181,0.9699973,0.38,10.0,1.2,42
0.070427382864952,8.79886,0.90545017,0.5461519,0.9968606,0.38,10.0,1.2,42
0.0806086156654357,8.611523,0.8985975,0.5544072,0.98009264,0.38,10.0,1.2,42
0.1033660961055755,8.487375,0.9021174,0.5555427,0.955111,0.38,10.0,1.2,42
0.1010499079990387,9.315344,0.89745927,0.5552851,0.9949374,0.38,10.0,1.2,42
0.078035773897171,9.228544,0.9061778,0.55490977,0.98391247,0.38,10.0,1.2,42
0.0494355431556701,9.206219,0.92993224,0.55960923,0.9048078,0.38,10.0,1.2,42
0.0401534078645706,9.228221,0.90388703,0.558101,0.9971385,0.38,10.0,1.2,42
0.1100650948524475,8.955746,0.908696,0.5440467,0.99926376,0.38,10.0,1.2,42
0.0435669342088699,9.10535,0.904365,0.56409043,0.9440509,0.38,10.0,1.2,42
0.1346179691839218,9.12758,0.8979115,0.5287235,0.9950237,0.38,10.0,1.2,42
0.1056032728910446,8.991094,0.9109584,0.55125684,0.9528893,0.38,10.0,1.2,42
0.0911043850088119,8.730996,0.8981061,0.553,0.93204653,0.38,10.0,1.2,42
0.1239315572881698,9.080995,0.9178904,0.55118114,0.99112535,0.38,10.0,1.2,42
0.1037134397315979,9.161602,0.9141253,0.55993015,0.94463074,0.38,10.0,1.2,42
0.1171468290328979,9.4576645,0.909645,0.5368941,0.9887266,0.38,10.0,1.2,42
0.05803025806427,8.884102,0.90313905,0.5565586,0.99882627,0.38,10.0,1.2,42
0.0565689158344268,9.207762,0.9088998,0.5638491,0.9877144,0.38,10.0,1.2,42
0.0375289321947097,9.25336,0.9126855,0.5603067,0.9715527,0.38,10.0,1.2,42
0.0758436491298675,9.040476,0.9008829,0.54766613,0.91222477,0.38,10.0,1.2,42
0.0352388306760787,9.195531,0.8966093,0.56667864,0.9876336,0.38,10.0,1.2,42
0.0795732440519332,8.879872,0.9163538,0.5418526,0.9650042,0.38,10.0,1.2,42
0.1049703899288177,9.24917,0.92253935,0.56611603,0.996734,0.38,10.0,1.2,42
0.0587069539308547,8.719096,0.91807586,0.5547741,0.88353515,0.38,10.0,1.2,42
0.0894831659078598,9.184442,0.9206344,0.54730445,0.98343635,0.38,10.0,1.2,42
0.0611158224248886,9.055818,0.9153921,0.5565816,0.9631624,0.38,10.0,1.2,42
0.0764629809141159,8.906255,0.9080879,0.5571232,0.9953797,0.38,10.0,1.2,42
0.0658212624311447,9.318509,0.9284061,0.5565813,0.8727468,0.38,10.0,1.2,42
0.1039351336622238,8.833631,0.8936931,0.5522256,0.99617946,0.38,10.0,1.2,42
0.0882925756120681,8.804172,0.89949167,0.5500876,0.98371947,0.38,10.0,1.2,42
0.0788171283864975,9.165032,0.9208801,0.558959,0.9514024,0.38,10.0,1.2,42
0.1147579390096664,9.226571,0.90856737,0.5476186,0.9615184,0.38,10.0,1.2,42
0.0556024097967147,9.25438,0.9247598,0.5618965,0.92549706,0.38,10.0,1.2,42
0.0413312248039245,9.271198,0.909181,0.55692405,0.9890152,0.38,10.0,1.2,42
0.0302913666963577,9.110713,0.91853577,0.5614516,0.8977053,0.38,10.0,1.2,42
0.0397133275794982,9.581295,0.9010487,0.5651706,0.99602115,0.38,10.0,1.2,42
0.0843092135429382,8.904438,0.9044563,0.5479279,0.9507601,0.38,10.0,1.2,42
0.1122705411100387,9.2712145,0.9103832,0.5481341,0.87846696,0.38,10.0,1.2,42
0.0915488616132736,9.65463,0.91328055,0.5550334,0.9985286,0.38,10.0,1.2,42
0.0777590579175949,9.146665,0.90660393,0.55904824,0.9709239,0.38,10.0,1.2,42
0.0738535378742218,9.078642,0.909771,0.5536137,0.9873979,0.38,10.0,1.2,42
0.0695748134994506,9.034508,0.9011551,0.5535061,0.99240124,0.38,10.0,1.2,42
0.0701468245267868,9.512792,0.92082965,0.562863,0.90981865,0.38,10.0,1.2,42
0.0619312935590743,8.580747,0.89486337,0.5555324,0.99718344,0.38,10.0,1.2,42
0.112350000219345,9.27157,0.9172789,0.5435572,0.93958926,0.38,10.0,1.2,42
0.1162258552455902,9.219568,0.9051203,0.5492863,0.9630585,0.38,10.0,1.2,42
0.031867679195404,9.335896,0.90820795,0.56679004,0.96862924,0.38,10.0,1.2,42
0.1329259834575653,8.458696,0.9147973,0.56143874,0.92859054,0.38,10.0,1.2,42
0.0545590809726715,8.898275,0.9158358,0.5588315,0.9428868,0.38,10.0,1.2,42
0.1545231730222702,8.365331,0.8989406,0.54561895,0.9866787,0.38,10.0,1.2,42
0.1954027300024032,9.153169,0.9084144,0.53978205,0.9222219,0.38,10.0,1.2,42
0.0333919167566299,8.958083,0.91508025,0.5666309,0.96862006,0.38,10.0,1.2,42
0.0684965621948242,8.96019,0.9081309,0.54941285,0.9164064,0.38,10.0,1.2,42
0.0755132410907745,9.135054,0.91012996,0.5596358,0.9956032,0.38,10.0,1.2,42
0.0563424617052078,9.01401,0.92954946,0.5586162,0.9713074,0.38,10.0,1.2,42
0.0629897982740402,8.904965,0.905722,0.55552346,0.9247502,0.38,10.0,1.2,42
0.1351577263402938,9.174958,0.9264636,0.55302924,0.9306085,0.38,10.0,1.2,42
0.0648714267158508,9.308498,0.91406405,0.5637944,0.9551296,0.38,10.0,1.2,42
0.1316769772529602,9.161205,0.91787076,0.54968214,0.92675066,0.38,10.0,1.2,42
0.098149780087471,8.755961,0.9181752,0.5495058,0.9603298,0.38,10.0,1.2,42
0.0457222711133956,8.67735,0.8943249,0.5645275,0.9837879,0.38,10.0,1.2,42
0.0864050411462783,9.612594,0.9072051,0.5593796,0.97164655,0.38,10.0,1.2,42
0.1154530742406845,9.026246,0.9049702,0.5531363,0.90029514,0.38,10.0,1.2,42
0.0810844586753845,8.750065,0.9087622,0.54977065,0.9961175,0.38,10.0,1.2,42
0.1088668586015701,8.94382,0.9217086,0.542365,0.94203424,0.38,10.0,1.2,42
0.1140596670293807,9.599183,0.9100271,0.560782,0.9860784,0.38,10.0,1.2,42
0.0606725023794174,8.849908,0.9082527,0.5613602,0.9946283,0.38,10.0,1.2,42
0.0918837672710418,9.1481495,0.9146742,0.56100756,0.9040158,0.38,10.0,1.2,42
0.0637634992027282,8.78928,0.9056548,0.5605632,0.9989853,0.38,10.0,1.2,42
0.0475165575551986,8.974267,0.91611147,0.5589846,0.9638884,0.38,10.0,1.2,42
0.0914861493873596,8.393093,0.8972573,0.55144,0.9599339,0.38,10.0,1.2,42
0.0793883096694946,8.736076,0.91679144,0.5492403,0.94535863,0.38,10.0,1.2,42
0.0802796101093292,9.376707,0.88987607,0.5570863,0.98487103,0.38,10.0,1.2,42
0.0523704213285446,9.029363,0.8984375,0.54672366,0.98454165,0.38,10.0,1.2,42
0.0373580701017379,9.426625,0.9093585,0.5632752,0.99095166,0.38,10.0,1.2,42
0.0182334527301788,8.419004,0.9107251,0.5641486,0.99035525,0.38,10.0,1.2,42
0.0631460908555984,9.654391,0.92373276,0.55765057,0.9196521,0.38,10.0,1.2,42
0.0706411236524581,8.894086,0.91490453,0.56542534,0.9367957,0.38,10.0,1.2,42
0.043363889503479,9.347496,0.91473603,0.57243925,0.96015644,0.38,10.0,1.2,42
0.0574642335319519,9.374302,0.9067225,0.5503219,0.9745327,0.38,10.0,1.2,42
0.078114881234169,9.107467,0.9265053,0.545672,0.929252,0.38,10.0,1.2,42
0.0791748980331421,9.3174515,0.91098416,0.5426447,0.96493566,0.38,10.0,1.2,42
0.0826924492168426,8.952623,0.90443397,0.54307574,0.97868323,0.38,10.0,1.2,42
0.0755173239040374,9.4237,0.9246353,0.561059,0.93805194,0.38,10.0,1.2,42
0.0697492276239395,8.534957,0.9053633,0.56128496,0.9985212,0.38,10.0,1.2,42
0.0838383670854568,8.675815,0.915813,0.5544624,0.92164063,0.38,10.0,1.2,42
0.106469628458023,8.945852,0.9085822,0.55888164,0.99389446,0.38,10.0,1.2,42
0.1085804810285568,8.895535,0.9175102,0.5457234,0.95249164,0.38,10.0,1.2,42
0.0729441219615936,9.072405,0.9035927,0.5507956,0.9744071,0.38,10.0,1.2,42
0.0531246679925918,8.628524,0.90731734,0.566547,0.9896183,0.38,10.0,1.2,42
0.0299519221115112,9.020439,0.9043172,0.55412877,0.9703207,0.38,10.0,1.2,42
0.0666151366710662,8.921633,0.90480494,0.55811936,0.9799541,0.38,10.0,1.2,42
0.0872087655544281,9.119043,0.9147402,0.5504845,0.9652381,0.38,10.0,1.2,42
0.1130059057712555,9.184866,0.914035,0.5476531,0.9711487,0.38,10.0,1.2,42
0.1372621352958679,9.489094,0.9069843,0.5553075,0.9922515,0.38,10.0,1.2,42
0.0556602995872497,9.478245,0.9055277,0.55605286,0.96297526,0.38,10.0,1.2,42
0.06235694419384,8.974851,0.90863615,0.5569588,0.9828136,0.38,10.0,1.2,42
0.0800732535028457,8.64569,0.8998461,0.55664575,0.9988686,0.38,10.0,1.2,42
0.0377066723632812,9.410492,0.9217712,0.5598396,0.971812,0.38,10.0,1.2,42
0.1463382584095001,8.689909,0.9003132,0.5452982,0.99596226,0.38,10.0,1.2,42
0.1088966251850128,9.655409,0.9237845,0.5513391,0.9913784,0.38,10.0,1.2,42
0.0731524768400192,8.934346,0.90104395,0.5616082,0.9971583,0.38,10.0,1.2,42
0.1164286968708038,8.731794,0.90993106,0.5471113,0.9407753,0.38,10.0,1.2,42
0.0638556959056854,9.0005665,0.9048945,0.5623369,0.98757946,0.38,10.0,1.2,42
0.0697470683717727,9.233745,0.917029,0.5569723,0.9732472,0.38,10.0,1.2,42
0.0754528478193283,9.160901,0.9186711,0.5615986,0.88865745,0.38,10.0,1.2,42
0.057677745604515,9.290795,0.91582197,0.56463045,0.95830345,0.38,10.0,1.2,42
0.0486339546346664,9.447396,0.9033896,0.5551862,0.99900484,0.38,10.0,1.2,42
0.0530538064146041,8.811391,0.89349765,0.55220324,0.9828768,0.38,10.0,1.2,42
0.0943573841238021,9.4521265,0.916544,0.5648797,0.9874158,0.38,10.0,1.2,42
0.0972453667402267,9.753308,0.9275274,0.5701801,0.9331764,0.38,10.0,1.2,42
0.0638738321828842,9.095117,0.91784954,0.57333046,0.9608722,0.38,10.0,1.2,42
0.1085059916877746,9.013927,0.9122977,0.56280595,0.982991,0.38,10.0,1.2,42
0.0979731045389175,8.821204,0.9082271,0.5512624,0.99402,0.38,10.0,1.2,42
0.0560981683254241,8.9257145,0.90630114,0.5698791,0.9554546,0.38,10.0,1.2,42
0.0545987366914749,9.249721,0.9119679,0.55052936,0.9835553,0.38,10.0,1.2,42
0.0549293659830093,9.363425,0.9071593,0.5699626,0.9779737,0.38,10.0,1.2,42
0.118733599281311,9.365196,0.911773,0.54228985,0.99196506,0.38,10.0,1.2,42
0.0921687505960464,8.943,0.90759903,0.5638619,0.97818494,0.38,10.0,1.2,42
0.0855683672189712,9.251685,0.89667726,0.5444385,0.9874643,0.38,10.0,1.2,42
0.0849357443237304,9.336899,0.9224256,0.56241685,0.9037012,0.38,10.0,1.2,42
0.0819683175849914,8.818432,0.89948195,0.5585113,0.9997802,0.38,10.0,1.2,42
0.061682629160881,9.102765,0.90834063,0.56693304,0.99993706,0.38,10.0,1.2,42
0.0719696626234054,8.780118,0.91260576,0.5579322,0.9896929,0.38,10.0,1.2,42
