acoh,is_correct,quantile,rt,proportion,n,draw,gain,bound,k
0.0,False,0.25,97.0,0.5109383995394358,1775,-1,1.0,2.0,10.0
0.0,False,0.5,175.0,0.5109383995394358,1775,-1,1.0,2.0,10.0
0.0,False,0.75,327.5,0.5109383995394358,1775,-1,1.0,2.0,10.0
0.0,True,0.25,105.0,0.4890616004605642,1699,-1,1.0,2.0,10.0
0.0,True,0.5,176.0,0.4890616004605642,1699,-1,1.0,2.0,10.0
0.0,True,0.75,306.5,0.4890616004605642,1699,-1,1.0,2.0,10.0
0.03,False,0.25,101.0,0.3008352534562212,2089,-1,1.0,2.0,10.0
0.03,False,0.5,185.0,0.3008352534562212,2089,-1,1.0,2.0,10.0
0.03,False,0.75,314.0,0.3008352534562212,2089,-1,1.0,2.0,10.0
0.03,True,0.25,96.0,0.6991647465437788,4855,-1,1.0,2.0,10.0
0.03,True,0.5,174.0,0.6991647465437788,4855,-1,1.0,2.0,10.0
0.03,True,0.75,306.0,0.6991647465437788,4855,-1,1.0,2.0,10.0
0.06,False,0.25,88.0,0.1626848691695108,1144,-1,1.0,2.0,10.0
0.06,False,0.5,157.0,0.1626848691695108,1144,-1,1.0,2.0,10.0
0.06,False,0.75,276.5,0.1626848691695108,1144,-1,1.0,2.0,10.0
0.06,True,0.25,93.0,0.8373151308304891,5888,-1,1.0,2.0,10.0
0.06,True,0.5,165.0,0.8373151308304891,5888,-1,1.0,2.0,10.0
0.06,True,0.75,279.0,0.8373151308304891,5888,-1,1.0,2.0,10.0
0.09,False,0.25,75.0,0.08003804864791413,589,-1,1.0,2.0,10.0
0.09,False,0.5,130.0,0.08003804864791413,589,-1,1.0,2.0,10.0
0.09,False,0.75,222.0,0.08003804864791413,589,-1,1.0,2.0,10.0
0.09,True,0.25,82.0,0.9199619513520859,6770,-1,1.0,2.0,10.0
0.09,True,0.5,140.0,0.9199619513520859,6770,-1,1.0,2.0,10.0
0.09,True,0.75,232.0,0.9199619513520859,6770,-1,1.0,2.0,10.0
0.12,False,0.25,61.5,0.03813089295618414,275,-1,1.0,2.0,10.0
0.12,False,0.5,101.0,0.03813089295618414,275,-1,1.0,2.0,10.0
0.12,False,0.75,160.5,0.03813089295618414,275,-1,1.0,2.0,10.0
0.12,True,0.25,72.0,0.9618691070438159,6937,-1,1.0,2.0,10.0
0.12,True,0.5,119.0,0.9618691070438159,6937,-1,1.0,2.0,10.0
0.12,True,0.75,191.0,0.9618691070438159,6937,-1,1.0,2.0,10.0
0.15,False,0.25,58.75,0.01643835616438356,120,-1,1.0,2.0,10.0
0.15,False,0.5,99.5,0.01643835616438356,120,-1,1.0,2.0,10.0
0.15,False,0.75,141.25,0.01643835616438356,120,-1,1.0,2.0,10.0
0.15,True,0.25,63.0,0.9835616438356164,7180,-1,1.0,2.0,10.0
0.15,True,0.5,97.0,0.9835616438356164,7180,-1,1.0,2.0,10.0
0.15,True,0.75,156.0,0.9835616438356164,7180,-1,1.0,2.0,10.0
0.0,False,0.25,98.69999999999999,0.4950643134908765,1655,1,1.0,2.0,10.0
0.0,False,0.5,176.20000000000002,0.4950643134908765,1655,1,1.0,2.0,10.0
0.0,False,0.75,308.45000000000005,0.4950643134908765,1655,1,1.0,2.0,10.0
0.0,True,0.25,97.25,0.5049356865091236,1688,1,1.0,2.0,10.0
0.0,True,0.5,179.55,0.5049356865091236,1688,1,1.0,2.0,10.0
0.0,True,0.75,317.825,0.5049356865091236,1688,1,1.0,2.0,10.0
0.03,False,0.25,93.92499999999998,0.3114463176574978,2106,1,1.0,2.0,10.0
0.03,False,0.5,168.84999999999997,0.3114463176574978,2106,1,1.0,2.0,10.0
0.03,False,0.75,294.0,0.3114463176574978,2106,1,1.0,2.0,10.0
0.03,True,0.25,93.7,0.6885536823425022,4656,1,1.0,2.0,10.0
0.03,True,0.5,168.65000000000003,0.6885536823425022,4656,1,1.0,2.0,10.0
0.03,True,0.75,297.1,0.6885536823425022,4656,1,1.0,2.0,10.0
0.06,False,0.25,81.69999999999999,0.17439676347348648,1207,1,1.0,2.0,10.0
0.06,False,0.5,145.09999999999997,0.17439676347348648,1207,1,1.0,2.0,10.0
0.06,False,0.75,251.25,0.17439676347348648,1207,1,1.0,2.0,10.0
0.06,True,0.25,87.22500000000001,0.8256032365265135,5714,1,1.0,2.0,10.0
0.06,True,0.5,154.34999999999997,0.8256032365265135,5714,1,1.0,2.0,10.0
0.06,True,0.75,266.2,0.8256032365265135,5714,1,1.0,2.0,10.0
0.09,False,0.25,69.32499999999999,0.09339158929546695,684,1,1.0,2.0,10.0
0.09,False,0.5,119.8,0.09339158929546695,684,1,1.0,2.0,10.0
0.09,False,0.75,207.225,0.09339158929546695,684,1,1.0,2.0,10.0
0.09,True,0.25,76.89999999999999,0.906608410704533,6640,1,1.0,2.0,10.0
0.09,True,0.5,132.4,0.906608410704533,6640,1,1.0,2.0,10.0
0.09,True,0.75,222.22500000000002,0.906608410704533,6640,1,1.0,2.0,10.0
0.12,False,0.25,52.275,0.042210497084143296,304,1,1.0,2.0,10.0
0.12,False,0.5,101.94999999999999,0.042210497084143296,304,1,1.0,2.0,10.0
0.12,False,0.75,171.82500000000002,0.042210497084143296,304,1,1.0,2.0,10.0
0.12,True,0.25,68.10000000000001,0.9577895029158567,6898,1,1.0,2.0,10.0
0.12,True,0.5,112.10000000000002,0.9577895029158567,6898,1,1.0,2.0,10.0
0.12,True,0.75,183.57500000000002,0.9577895029158567,6898,1,1.0,2.0,10.0
0.15,False,0.25,61.0,0.02288298163880515,167,1,1.0,2.0,10.0
0.15,False,0.5,88.3,0.02288298163880515,167,1,1.0,2.0,10.0
0.15,False,0.75,132.5,0.02288298163880515,167,1,1.0,2.0,10.0
0.15,True,0.25,60.800000000000004,0.9771170183611948,7131,1,1.0,2.0,10.0
