param,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,gain,k,bound,seed_filter,n,t_fixed,tag
v_Intercept,-0.045,0.023,-0.09,-0.003,0.0,0.0,3026.0,2983.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
v_coherence_signed,8.694,0.255,8.226,9.18,0.005,0.004,3093.0,2254.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
a,1.017,0.01,0.999,1.036,0.0,0.0,2907.0,2498.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
z,0.511,0.008,0.495,0.527,0.0,0.0,3119.0,2959.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
g,0.951,0.042,0.874,1.0,0.001,0.001,1791.0,1178.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
v(0.15),1.259,0.044,1.176,1.339,0.001,0.001,3191.0,2387.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
v(0),-0.045,0.023,-0.09,-0.003,0.0,0.0,3026.0,2983.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
v(-0.15),-1.349,0.046,-1.431,-1.261,0.001,0.001,3141.0,2572.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
g_native,9.508,0.417,8.737,10.0,0.009,0.008,1791.0,1178.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
a_native,0.322,0.003,0.316,0.328,0.0,0.0,2907.0,2498.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
v_native(0.15),3.981,0.138,3.719,4.234,0.002,0.002,3191.0,2387.0,1.0,1.0,10.0,1.5,0,2000,0.36,timing_g1.0_k10_n2000
