seed,gain,hit,p_return,p_dvT_ge2,med_tc
42,0.8,0.9275,0.538544474393531,0.428,180.0
42,1.0,0.989,0.24064711830131447,0.751,124.5
42,1.2,0.9995,0.10055027513756878,0.899,94.0
43,0.8,0.934,0.41167023554603854,0.5495,173.0
43,1.0,0.992,0.14717741935483872,0.846,117.0
43,1.2,0.999,0.06106106106106106,0.938,90.0
44,0.8,0.7835,0.3688576898532227,0.4945,235.0
44,1.0,0.9445,0.16781365802011647,0.786,179.0
44,1.2,0.9805,0.07598164201937786,0.906,145.0
45,0.8,0.9185,0.3772455089820359,0.572,184.0
45,1.0,0.986,0.1389452332657201,0.849,126.0
45,1.2,0.9965,0.05870546914199699,0.938,98.0
46,0.8,0.8605,0.39395700174317255,0.5215,220.0
46,1.0,0.977,0.17553735926305014,0.8055,154.5
46,1.2,0.998,0.08316633266533066,0.915,113.0
47,0.8,0.873,0.40034364261168387,0.5235,200.0
47,1.0,0.9775,0.16624040920716113,0.815,142.0
47,1.2,0.9965,0.08078273958855996,0.916,110.0
48,0.8,0.84,0.46845238095238095,0.4465,215.5
48,1.0,0.963,0.18951194184839046,0.7805,148.0
48,1.2,0.99,0.08080808080808081,0.91,113.0
49,0.8,0.9225,0.36314363143631434,0.5875,183.0
49,1.0,0.9895,0.12329459322890349,0.8675,127.0
49,1.2,0.994,0.05583501006036217,0.9385,96.0
50,0.8,0.903,0.5470653377630121,0.409,198.0
50,1.0,0.9845,0.2564753682072118,0.732,134.0
50,1.2,0.9965,0.1244355243351731,0.8725,103.0
51,0.8,0.8575,0.363265306122449,0.546,199.0
51,1.0,0.967,0.15615305067218202,0.816,146.0
51,1.2,0.9895,0.06771096513390601,0.9225,114.0
52,0.8,0.816,0.3958333333333333,0.493,214.5
52,1.0,0.9495,0.15534491837809372,0.802,161.0
52,1.2,0.988,0.0673076923076923,0.9215,125.0
53,0.8,0.8755,0.5842375785265562,0.364,202.0
53,1.0,0.978,0.3052147239263804,0.6795,143.0
53,1.2,0.9955,0.155700652938222,0.8405,108.0
54,0.8,0.852,0.5492957746478874,0.384,203.5
54,1.0,0.966,0.26811594202898553,0.707,144.0
54,1.2,0.997,0.11735205616850551,0.88,111.0
55,0.8,0.865,0.41098265895953756,0.5095,204.5
55,1.0,0.973,0.17060637204522097,0.807,151.0
55,1.2,0.9955,0.06177800100452034,0.934,115.0
56,0.8,0.916,0.5458515283842795,0.416,190.0
56,1.0,0.9895,0.26629610914603336,0.726,123.0
56,1.2,0.9995,0.1310655327663832,0.8685,95.0
57,0.8,0.9215,0.4812805208898535,0.478,182.0
57,1.0,0.9865,0.20679168778509882,0.7825,126.0
57,1.2,0.9985,0.08512769153730596,0.9135,97.0
58,0.8,0.5005,0.5134865134865135,0.2435,176.0
58,1.0,0.5965,0.33780385582564965,0.395,147.0
58,1.2,0.697,0.3170731707317073,0.476,133.0
59,0.8,0.863,0.5585168018539977,0.381,213.0
59,1.0,0.9715,0.2465259907359753,0.732,150.0
59,1.2,0.9965,0.10637230306071249,0.8905,115.0
60,0.8,0.8865,0.49971799210377893,0.4435,196.0
60,1.0,0.9735,0.2162300975860298,0.763,133.0
60,1.2,0.9955,0.09291813159216473,0.903,103.0
61,0.8,0.8405,0.4366448542534206,0.4735,210.0
61,1.0,0.945,0.24391534391534392,0.7145,162.5
61,1.2,0.977,0.15455475946775846,0.826,131.0
