seed,gain,level,hit,med_t,q25,q75
42,0.8,2.0,0.9275,180.0,92.0,328.0
42,0.8,1.5,0.9885,116.0,58.0,212.0
42,1.0,2.0,0.989,124.5,64.0,216.0
42,1.0,1.5,0.9975,80.0,42.0,152.0
42,1.2,2.0,0.9995,94.0,52.0,170.0
42,1.2,1.5,1.0,63.0,34.0,114.0
43,0.8,2.0,0.934,173.0,92.0,298.0
43,0.8,1.5,0.989,112.0,57.0,206.75
43,1.0,2.0,0.992,117.0,64.0,212.25
43,1.0,1.5,0.9995,77.0,43.0,147.0
43,1.2,2.0,0.999,90.0,51.0,160.75
43,1.2,1.5,1.0,62.0,33.75,112.0
44,0.8,2.0,0.7835,235.0,138.0,401.0
44,0.8,1.5,0.8795,194.0,101.0,344.0
44,1.0,2.0,0.9445,179.0,101.0,315.0
44,1.0,1.5,0.976,141.0,72.0,258.0
44,1.2,2.0,0.9805,145.0,78.0,250.0
44,1.2,1.5,0.9915,111.0,56.0,206.0
45,0.8,2.0,0.9185,184.0,96.0,329.0
45,0.8,1.5,0.9805,123.0,61.0,226.0
45,1.0,2.0,0.986,126.0,68.75,224.0
45,1.0,1.5,0.997,84.5,44.0,160.0
45,1.2,2.0,0.9965,98.0,53.0,172.0
45,1.2,1.5,0.9995,64.0,35.0,122.0
46,0.8,2.0,0.8605,220.0,121.0,376.0
46,0.8,1.5,0.958,165.0,83.0,294.25
46,1.0,2.0,0.977,154.5,83.0,259.0
46,1.0,1.5,0.997,108.0,58.0,191.75
46,1.2,2.0,0.998,113.0,66.0,192.0
46,1.2,1.5,1.0,84.0,46.0,148.0
47,0.8,2.0,0.873,200.0,111.0,350.0
47,0.8,1.5,0.9595,151.0,76.0,270.5
47,1.0,2.0,0.9775,142.0,78.0,249.0
47,1.0,1.5,0.994,103.5,54.0,189.25
47,1.2,2.0,0.9965,110.0,61.0,193.0
47,1.2,1.5,0.9995,78.0,43.0,146.0
48,0.8,2.0,0.84,215.5,115.0,378.0
48,0.8,1.5,0.955,147.5,71.0,267.75
48,1.0,2.0,0.963,148.0,77.0,261.0
48,1.0,1.5,0.992,105.0,52.0,189.0
48,1.2,2.0,0.99,113.0,60.0,203.0
48,1.2,1.5,0.998,79.0,41.0,150.0
49,0.8,2.0,0.9225,183.0,99.0,322.0
49,0.8,1.5,0.983,124.0,64.0,223.0
49,1.0,2.0,0.9895,127.0,69.0,221.0
49,1.0,1.5,0.9965,87.0,46.0,159.0
49,1.2,2.0,0.994,96.0,55.0,171.0
49,1.2,1.5,1.0,67.0,37.0,117.25
50,0.8,2.0,0.903,198.0,105.0,339.0
50,0.8,1.5,0.973,134.0,68.0,245.0
50,1.0,2.0,0.9845,134.0,72.0,231.0
50,1.0,1.5,0.996,95.0,49.0,177.0
50,1.2,2.0,0.9965,103.0,56.0,180.0
50,1.2,1.5,0.9995,71.0,39.5,129.0
51,0.8,2.0,0.8575,199.0,114.0,343.5
51,0.8,1.5,0.9565,147.0,77.0,265.0
51,1.0,2.0,0.967,146.0,79.0,258.0
51,1.0,1.5,0.9915,103.0,54.0,187.5
51,1.2,2.0,0.9895,114.0,62.0,200.0
51,1.2,1.5,0.999,81.0,44.0,145.0
52,0.8,2.0,0.816,214.5,113.0,388.25
52,0.8,1.5,0.9375,152.0,72.0,288.5
52,1.0,2.0,0.9495,161.0,82.0,275.0
52,1.0,1.5,0.986,111.0,54.0,204.0
52,1.2,2.0,0.988,125.0,65.0,220.0
52,1.2,1.5,0.998,82.0,42.0,158.0
53,0.8,2.0,0.8755,202.0,105.5,357.0
