dataset,seed,gain,hit_mode,g_true,B_true,v_true,g,g_lo,g_hi,B,v,a_bias,nll,model_hit,data_hit,sign_ok,covered
rec_degenerate_seed42_g1.2,42,1.2,bern,12.0,1.2,50.16615745411869,11.134954165244373,10.460376395311904,12.423577586616615,1.3087741485951943,53.242592393607055,-0.018900619696119485,1236.7557340281298,0.39802499999999996,0.403,True,True
rec_degenerate_seed42_g1.2,42,1.2,cross,12.0,1.2,50.16615745411869,11.878050846792787,10.598412528265051,12.779334509380577,1.2278960451320464,51.21315205126605,0.034639843489198484,1833.5477333616375,0.40068333333333334,0.403,True,True
rec_degenerate_seed42_g1.2,42,1.2,none,12.0,1.2,50.16615745411869,11.864870448587645,10.496322510334737,12.921605792355896,1.5032156326625628,63.27067576827456,-0.004116731272163575,466.02862196087676,0.36316499999999996,0.403,True,True
rec_seed42_g0.8_theory,42,0.8,cross,4.3,3.9806618284579214,56.1751872877018,4.690208267611597,4.329982385755692,5.176075695074088,4.687209797118249,71.99113228141354,2.381036550141472,299.84666272976983,0.0035116666666666664,0.0035,True,False
rec_seed42_g0.8_theory,42,0.8,none,4.3,3.9806618284579214,56.1751872877018,4.867459919231887,4.410552073277789,5.342361544436632,14.076000954826803,72.64124930041007,2.583336962592788,260.90242440450766,0.0,0.0035,True,False
rec_seed42_g1.2_theory,42,1.2,cross,-6.2,21.280084670194125,50.16615745411869,-6.196044395552365,-6.465804858233959,-6.056169560264303,21.099028767400156,50.34229190270095,-0.3099287495558256,1118.0377469174143,0.8472666666666666,0.8485,True,True
rec_seed42_g1.2_theory,42,1.2,none,-6.2,21.280084670194125,50.16615745411869,-6.41711784878267,-7.008144084088491,-5.8767694642980475,3.908550205950438,51.277254455995575,-0.29849785464603984,370.6245486882435,0.9757950000000001,0.8485,True,True
rec_seed46_g0.8_theory,46,0.8,cross,4.3,21.891440642419848,47.25471225863253,4.126220614945847,3.628274693683798,4.648383193190303,14.203447264068256,50.11163098086371,-5.002748165124263,381.1214498760238,0.0,0.0,True,True
rec_seed46_g0.8_theory,46,0.8,none,4.3,21.891440642419848,47.25471225863253,4.126220614945847,3.6282747165908886,4.648383193190303,14.203447264068256,50.11163098086371,-5.002748165124263,361.2537368274423,0.0,0.0,True,True
rec_seed46_g1.2_theory,46,1.2,cross,-6.2,1.6212151643016628,45.245602372478295,-6.037492291858136,-6.573161915419874,-5.8713492249752175,1.6430157656015472,47.50858414997536,-0.11952393991655239,2658.0712660520135,0.9887783333333334,0.992,True,True
rec_seed46_g1.2_theory,46,1.2,none,-6.2,1.6212151643016628,45.245602372478295,-5.945437120553137,-6.356693475016532,-5.41024387254363,4.418305281765334,48.743089722475304,-0.14046397053793502,402.4874743301176,0.9614866666666667,0.992,True,True
rec_seed51_g0.8_theory,51,0.8,cross,4.3,4.416369916107268,48.230982914227766,3.7867503350111384,3.303963309996474,4.298706895869049,8.086065766157086,49.788984803110715,-2.1426452717730573,372.9926978214293,0.0,0.0,True,False
rec_seed51_g0.8_theory,51,0.8,none,4.3,4.416369916107268,48.230982914227766,3.8846648053394115,3.463945094528052,4.3483677396171645,2.948793595248558,50.62696415551851,-2.0174774475634147,350.63402398612027,0.10771666666666667,0.0,True,True
rec_seed51_g1.2_theory,51,1.2,cross,-6.2,2.1267023610532716,42.894590532672865,-6.418986027585889,-6.486550124999848,-5.987591144520065,2.203384757135742,43.82121228675727,-0.20683375159972206,2577.951000097046,0.984735,0.9775,True,True
rec_seed51_g1.2_theory,51,1.2,none,-6.2,2.1267023610532716,42.894590532672865,-5.885233680306284,-6.677671380250635,-4.885233680306284,1.4953403135936156,47.51716853297506,-0.20318662949952565,426.6272381395356,0.9902833333333333,0.9775,True,True
rec_seed58_g0.8_theory,58,0.8,cross,4.3,15.279633260348243,32.88781854464369,5.532444803629311,4.838417269222553,6.257565648004841,7.173290934742871,43.52135766363391,-0.5972273565825812,504.92787368976275,0.0,0.0,True,False
rec_seed58_g0.8_theory,58,0.8,none,4.3,15.279633260348243,32.88781854464369,6.39331119866522,5.489958166924883,7.499948974349875,1.680937136899882,45.459413131514694,-0.304874910484183,480.5738237193428,0.2534033333333333,0.0,True,False
rec_seed58_g1.2_theory,58,1.2,cross,-6.2,3.8269226751171193,33.647429152319695,-6.286602098981425,-6.506924658568069,-6.074277907458793,3.895022071419733,33.413519106761115,-0.021839969180035026,2337.292736605053,0.9602266666666667,0.961,True,True
rec_seed58_g1.2_theory,58,1.2,none,-6.2,3.8269226751171193,33.647429152319695,-6.155205360910545,-6.8572065978153685,-5.639472347807577,3.582085972040665,32.62973577627943,-0.012788040938598245,568.3112846106587,0.9596233333333333,0.961,True,True
