route,gain,n,median_g,iqr_lo,iqr_hi,min_g,max_g,n_g_pos,n_g_neg,n_excl_zero,n_excl_above,n_excl_below,predicted,median_B,min_B,max_B,median_v,n_degenerate,mean_abs_hit_err,n_prof_edge
route 1 MLE,0.8,20,4.132082191736079,3.0205507504179514,4.627147230722558,2.5051381060898525,6.034096160584777,20,0,20,20,0,g > 0,,,,,,,
route 1 MLE,1.0,20,0.31905120408034304,-0.3428406947842888,0.7926825653415371,-0.8969935672376665,1.476765459601938,12,8,15,10,5,either,,,,,,,
route 1 MLE,1.2,20,-2.6320607026003926,-3.5609031113475567,-2.034995906170682,-5.166209409270405,-0.927559077930511,0,20,20,0,20,g < 0,,,,,,,
route 1 Bayes,0.8,20,3.9529168605804443,2.954632043838501,4.503544449806213,2.5412044525146484,5.227043151855469,20,0,20,20,0,g > 0,,,,,,,
route 1 Bayes,1.0,20,0.3283673524856567,-0.3360894620418548,0.8065598011016846,-0.8902356028556824,1.483266830444336,12,8,15,10,5,either,,,,,,,
route 1 Bayes,1.2,20,-2.626556873321533,-3.562911331653595,-2.03317654132843,-5.163522243499756,-0.9194926023483276,0,20,20,0,20,g < 0,,,,,,,
route 2 (no hit term),0.8,20,4.1327674936696495,3.013706099347378,4.577121726735417,2.684362080862569,6.042704851808004,20,0,20,20,0,g > 0,6.588862149723711,3.474791924590299,429.5630914055068,57.911420795844926,0.0,0.853915,0.0
route 2 (no hit term),1.0,20,0.5202040987342975,-0.2016786574081671,0.7902858039879814,-1.0264398423845336,1.5026697219854137,13,7,14,9,5,either,6.041506985790694,1.2757008186514862,9.894871686652428,47.33735669406471,0.0,0.7756913333333333,1.0
route 2 (no hit term),1.2,20,-2.5914966927940677,-3.770298710932398,-2.10914766151525,-5.527760782299237,1.0553250767742555,1,19,19,1,19,g < 0,6.37705217474012,1.5017972114430311,10.640042335097075,45.348204547579044,0.0,0.31500150000000005,1.0
route 2 (hit term),0.8,20,8.279724955034933,7.6319734783979944,8.968609331272836,1.1331846278988436,10.898239328164816,20,0,20,20,0,g > 0,0.9405651665570105,0.8582605307573773,2.217744239746576,50.066806585160165,13.0,0.012242,4.0
route 2 (hit term),1.2,20,-1.191030593292933,-2.427833746251504,0.3180079489157128,-4.978470126417987,4.0194462209648485,6,14,14,4,14,g < 0,0.8345002690265103,0.7676798099532953,1.0004220173240992,51.17824263961981,0.0,0.004446416666666647,7.0
route 2 (Bernoulli hit),0.8,20,5.9036874858003765,4.561463295970021,6.818766006461312,1.3140885746341002,8.994917984915961,20,0,20,20,0,g > 0,0.9716278441815007,0.7957579193155508,1.948809502921544,41.49089340396232,3.0,0.04360225,12.0
route 2 (Bernoulli hit),1.2,20,-3.508857948397406,-4.323780239115877,-2.954017456289647,-6.38351679525428,0.615080662787002,1,19,19,0,19,g < 0,1.3821517660979723,1.1154232071940648,2.591199760662954,48.36744500986671,0.0,0.0152911666666667,4.0
